,County_slash_Sub_County,lighting_Conventional_Households,lighting_Mains_Electricity,lighting_Paraffin_Pressure_lamp,lighting_Paraffin_Lantern,lighting_Paraffin_Tin_Lamp,lighting_Gas_Lamp,lighting_Wood,lighting_Solar_and_Solar_Torch_and_Battery_Torch,lighting_Solar,lighting_Torch_slash_Spotlight_Solar_Charged,lighting_Torch_slash_Spotlight_Dry_cells,lighting_Candle,lighting_Battery_Car_Slash_Charged,lighting_Generator_Diesel_slash_Petrol),lighting_Biogas,lighting_Not_Stated,drinking_water_Conventional_Households,drinking_water_Pond,drinking_water_Dam_slash_Lake,drinking_water_Stream_slash_River,drinking_water_Protected_Spring,drinking_water_Unprotected_Spring,drinking_water_Protected_Well,unprotected_well_borehole_piped_dwelling,drinking_water_Unprotected_Well,drinking_water_Borehole_slash_Tube_well,drinking_water_Piped_into_dwelling,drinking_water_Piped_to_yard_slash_plot,drinking_water_Bottled_water,drinking_water_Rain_slash_Harvested_water,drinking_water_Water_Vendor,drinking_water_Public_tap_slash_Standpipe,drinking_water_Not_Stated,internet_population_above3_Total_Male_Female,internet_population_above3_Total,internet_population_above3_Male,internet_population_above3_Female,Use_of_Internet_Total,Use_of_Internet_pct,Use_of_Internet_Male_pct,Use_of_Internet_Male,Use_of_Internet_pct.1,Use_of_Internet_Female,Use_of_Internet_pct.2,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Total,pct_male_pct_female_pct,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Total_pct,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Male,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Male_pct,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Female,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Female_pct,mo_phone_population_above_3_Total_Male_Female,mo_phone_population_above_3_Total,mo_phone_population_above_3_Male,mo_phone_population_above_3_Female,mobile_phone_Total,mobile_phone_Total_pct,mobile_phone_Male_and_pct,mobile_phone_Male,mobile_phone_Male_pct,mobile_phone_Female,mobile_phone_Female_pct
80,MERU CENTRAL,"39,498",44.3,0.4,11.3,11.6,0.1,0.8,18.8 3.5 7.4,18.8,3.5,7.4,1.3,0.4,0,0,0,"39,498",0.2,0.3,25.6,2.3,1.3,0.7,1.7 2.2 28.2,1.7,2.2,28.2,32.2,0.5,0.6,1.1,3.1,0,"125,670 62,757 62,910","125,670","62,757","62,910","25,495",20.3,"14,042 22.4","14,042",22.4,"11,453",18.2,"10,038","8.0 5,468 8.7 4,570",8.0,"5,468",8.7,"4,570",7.3,"125,670 62,757 62,910","125,670","62,757","62,910","71,605",57.0,"35,980 57.3","35,980",57.3,"35,623",56.6
81,TIGANIA CENTRAL,"24,983",19.5,0.8,14.8,23.2,0.2,2.6,19.2 3.4 14.5,19.2,3.4,14.5,1.4,0.5,-,0,0,"24,983",1.2,0.3,49.2,1.4,2.8,0.8,2.7 0.4 15.9,2.7,0.4,15.9,19.9,0.5,0.2,0.7,3.8,0,"97,405 48,073 49,332","97,405","48,073","49,332","11,279",11.6,"6,518 13.6","6,518",13.6,"4,761",9.7,"3,957","4.1 2,266 4.7 1,691",4.1,"2,266",4.7,"1,691",3.4,"97,405 48,073 49,332","97,405","48,073","49,332","39,876",40.9,"20,704 43.1","20,704",43.1,"19,172",38.9
82,TIGANIA EAST,"16,791",19.2,0.2,14.5,17.5,0.4,5.1,28.2 9.7 4.3,28.2,9.7,4.3,0.6,0.2,0,0,0.1,"16,791",0.7,0.7,34.7,3.9,1.4,3.5,2.9 10.7 8.3,2.9,10.7,8.3,11.1,1.2,0.3,6.8,13.6,0.1,"67,622 32,914 34,705","67,622","32,914","34,705","9,323",13.8,"5,258 16.0","5,258",16.0,"4,065",11.7,"3,143","4.6 1,868 5.7 1,275",4.6,"1,868",5.7,"1,275",3.7,"67,622 32,914 34,705","67,622","32,914","34,705","27,824",41.1,"13,628 41.4","13,628",41.4,"14,196",40.9
83,TIGANIA WEST,"35,402",23.9,0.6,15.9,28.1,0.3,0.9,23.0 3.4 2.9,23.0,3.4,2.9,0.7,0.4,0,0,0,"35,402",0.4,0.4,30.2,5.2,3,10,2.0 18.1 5.3,2.0,18.1,5.3,8.1,0.4,0.2,6.9,9.7,0,"130,798 63,209 67,585","130,798","63,209","67,585","19,485",14.9,"10,827 17.1","10,827",17.1,"8,657",12.8,"7,495","5.7 4,406 7.0 3,088",5.7,"4,406",7.0,"3,088",4.6,"130,798 63,209 67,585","130,798","63,209","67,585","61,200",46.8,"29,433 46.6","29,433",46.6,"31,765",47.0
84,MERU NATIONAL PARK,46,93.5,-,-,-,-,-,- - 2.2,-,-,2.2,-,-,4.3,-,-,46,-,-,-,8.7,-,-,- - 91.3,-,-,91.3,-,-,-,-,-,-,294 219 75,294,219,75,214,72.8,172 78.5,172,78.5,42,56.0,51,17.3 38 17.4 13,17.3,38,17.4,13,17.3,294 219 75,294,219,75,251,85.4,197 90.0,197,90.0,54,72.0
585,THARAKA-NITHI,"109,450",34.7,0.4,9,13.1,0.1,2.1,17.1 3.9 18.2,17.1,3.9,18.2,1.1,0.2,0,0,0,"109,450",0.4,0.1,34.6,0.6,1,3,3.1 5.1 18.8,3.1,5.1,18.8,24.1,0.3,0.3,1.8,6.9,0,"367,574 180,692 186,875","367,574","180,692","186,875","69,154",18.8,"36,971 20.5","36,971",20.5,"32,180",17.2,"29,987","8.2 16,260 9.0 13,727",8.2,"16,260",9.0,"13,727",7.3,"367,574 180,692 186,875","367,574","180,692","186,875","188,394",51.3,"93,265 51.6","93,265",51.6,"95,125",50.9
586,IGAMBANG'OMBE,"14,383",12.8,0.1,10.4,21.3,0,1.8,23.3 5.9 22.7,23.3,5.9,22.7,1.2,0.3,0,0,0,"14,383",0.4,0.2,65.6,0.4,2,1,2.1 1.7 10.2,2.1,1.7,10.2,11.4,0.3,0.3,2.3,2.1,0,"49,368 24,367 25,000","49,368","24,367","25,000","6,112",12.4,"3,457 14.2","3,457",14.2,"2,654",10.6,"2,152","4.4 1,217 5.0 935",4.4,"1,217",5.0,935,3.7,"49,368 24,367 25,000","49,368","24,367","25,000","23,138",46.9,"11,566 47.5","11,566",47.5,"11,571",46.3
587,MAARA,"34,779",46.6,0.8,12.1,17.3,0.2,0.5,12.3 2.6 6.4,12.3,2.6,6.4,1,0.3,0,0,0,"34,779",0.3,0,17.3,0.8,0.8,1.8,0.4 0.9 29.1,0.4,0.9,29.1,36.4,0.3,0.3,1.6,9.9,0,"108,517 54,491 54,026","108,517","54,491","54,026","24,682",22.7,"12,842 23.6","12,842",23.6,"11,840",21.9,"9,977","9.2 5,274 9.7 4,703",9.2,"5,274",9.7,"4,703",8.7,"108,517 54,491 54,026","108,517","54,491","54,026","62,921",58.0,"31,246 57.3","31,246",57.3,"31,675",58.6
588,MERU SOUTH,"28,211",60.9,0.3,11.6,10.9,0.1,0.5,8.8 1.7 3.6,8.8,1.7,3.6,1.4,0.2,0,-,0,"28,211",0.4,0,18.3,0.7,0.8,7.5,1.8 3.7 25.1,1.8,3.7,25.1,35.5,0.5,0.3,1.1,4.1,0,"85,236 41,988 43,246","85,236","41,988","43,246","23,125",27.1,"12,006 28.6","12,006",28.6,"11,118",25.7,"11,605","13.6 6,199 14.8 5,406",13.6,"6,199",14.8,"5,406",12.5,"85,236 41,988 43,246","85,236","41,988","43,246","51,994",61.0,"25,381 60.4","25,381",60.4,"26,612",61.5
589,THARAKA NORTH,"13,403",4.2,0.1,2,5.2,0.2,7.1,23.7 6.4 49.8,23.7,6.4,49.8,0.9,0.4,0,0,0.1,"13,403",1.3,0.2,68,0.2,1.1,1.2,9.1 6.2 1.0,9.1,6.2,1.0,1.6,0,0,0.1,10,0.1,"54,321 26,290 28,029","54,321","26,290","28,029","5,073",9.3,"3,013 11.5","3,013",11.5,"2,060",7.3,"1,707","3.1 1,013 3.9 694",3.1,"1,013",3.9,694,2.5,"54,321 26,290 28,029","54,321","26,290","28,029","20,006",36.8,"10,344 39.3","10,344",39.3,"9,661",34.5
590,THARAKA SOUTH,"18,603",11.4,0.1,3.4,8.2,0.1,4.3,29.0 6.2 36.4,29.0,6.2,36.4,0.7,0.1,0,-,0,"18,603",0.1,0.1,43.5,0.3,0.6,1.3,6.6 16.6 9.4,6.6,16.6,9.4,9.7,0.3,0.4,4.3,6.8,0,"69,972 33,482 36,488","69,972","33,482","36,488","10,053",14.4,"5,610 16.8","5,610",16.8,"4,442",12.2,"4,486","6.4 2,532 7.6 1,954",6.4,"2,532",7.6,"1,954",5.4,"69,972 33,482 36,488","69,972","33,482","36,488","30,200",43.2,"14,668 43.8","14,668",43.8,"15,531",42.6
591,EMBU,"182,427",47,0.4,8,11.8,0.1,0.4,21.1 2.8 6.6,21.1,2.8,6.6,1.5,0.3,0,0,0,"182,427",0.7,3,20.1,0.5,0.9,3,3.0 5.5 20.7,3.0,5.5,20.7,28.6,0.2,1.3,4.5,8.1,0,"568,228 283,024 285,182","568,228","283,024","285,182","125,572",22.1,"66,829 23.6","66,829",23.6,"58,737",20.6,"53,649","9.4 28,913 10.2 24,733",9.4,"28,913",10.2,"24,733",8.7,"568,228 283,024 285,182","568,228","283,024","285,182","323,700",57.0,"159,715 56.4","159,715",56.4,"163,970",57.5
592,EMBU EAST,"39,586",51.5,0.4,11.5,17.3,0.1,0.2,13.7 2.0 1.8,13.7,2.0,1.8,1.2,0.2,0,0,-,"39,586",0.7,0.1,26.4,1,1.1,8.4,3.1 4.6 21.2,3.1,4.6,21.2,23.5,0.1,0.5,1.8,7.4,-,"122,079 60,807 61,270","122,079","60,807","61,270","25,056",20.5,"13,406 22.0","13,406",22.0,"11,650",19.0,"10,935","9.0 5,940 9.8 4,995",9.0,"5,940",9.8,"4,995",8.2,"122,079 60,807 61,270","122,079","60,807","61,270","70,942",58.1,"34,622 56.9","34,622",56.9,"36,318",59.3
593,EMBU NORTH,"24,294",63.3,0.5,9.1,17.4,0.1,0.2,5.9 1.1 1.0,5.9,1.1,1.0,1.2,0.3,-,0,0,"24,294",0.1,0,7.4,0,0.2,0.2,0.2 0.2 30.0,0.2,0.2,30.0,52.6,0,0.3,0.2,8.5,0,"75,194 37,443 37,748","75,194","37,443","37,748","16,268",21.6,"8,939 23.9","8,939",23.9,"7,329",19.4,"7,232","9.6 4,045 10.8 3,187",9.6,"4,045",10.8,"3,187",8.4,"75,194 37,443 37,748","75,194","37,443","37,748","44,732",59.5,"21,931 58.6","21,931",58.6,"22,799",60.4
594,EMBU WEST,"43,126",75.8,0.4,5.7,8.9,0.1,0.1,5.2 0.9 1.2,5.2,0.9,1.2,1.7,0.2,-,-,0,"43,126",0.5,0.1,6.8,0.6,0.5,1.3,1.3 1.1 34.2,1.3,1.1,34.2,43.1,0.4,0.2,2.7,7.3,0,"116,797 57,297 59,491","116,797","57,297","59,491","40,813",34.9,"20,467 35.7","20,467",35.7,"20,340",34.2,"20,627","17.7 10,684 18.6 9,940",17.7,"10,684",18.6,"9,940",16.7,"116,797 57,297 59,491","116,797","57,297","59,491","76,974",65.9,"37,269 65.0","37,269",65.0,"39,697",66.7
595,MBEERE SOUTH,"45,924",23,0.4,7.4,9.1,0.1,0.3,40.9 5.3 11.6,40.9,5.3,11.6,1.3,0.5,0,0,0,"45,924",1.1,10.9,29.2,0.2,0.7,2.2,4.4 14.7 6.9,4.4,14.7,6.9,11.8,0.2,3.1,9.2,5.3,0,"152,697 77,699 74,993","152,697","77,699","74,993","27,340",17.9,"15,139 19.5","15,139",19.5,"12,201",16.3,"8,782","5.8 4,872 6.3 3,910",5.8,"4,872",6.3,"3,910",5.2,"152,697 77,699 74,993","152,697","77,699","74,993","80,789",52.9,"41,124 52.9","41,124",52.9,"39,662",52.9
596,MBEERE NORTH,"29,483",22.8,0.4,6.5,8,0.2,1.3,36.1 4.2 18.1,36.1,4.2,18.1,2,0.4,0,-,0,"29,483",0.7,1,27.4,0.8,2.1,1.6,5.4 2.9 14.0,5.4,2.9,14.0,20.8,0.1,1.7,7,14.5,0,"101,440 49,760 51,677","101,440","49,760","51,677","16,080",15.9,"8,865 17.8","8,865",17.8,"7,215",14.0,"6,066","6.0 3,367 6.8 2,699",6.0,"3,367",6.8,"2,699",5.2,"101,440 49,760 51,677","101,440","49,760","51,677","50,242",49.5,"24,751 49.7","24,751",49.7,"25,491",49.3
597,KITUI,"261,814",17.1,0.5,13.8,9.4,0.2,1.9,37.3 6.7 11.7,37.3,6.7,11.7,0.9,0.3,0,0,0,"261,814",0.7,5.5,42.3,0.9,0.8,6.7,6.2 13.2 2.8,6.2,13.2,2.8,2.3,0.9,2.4,5.9,9.3,0,"1,056,907 508,247 548,634","1,056,907","508,247","548,634","143,340",13.6,"76,701 15.1","76,701",15.1,"66,636",12.1,"51,579","4.9 28,643 5.6 22,934",4.9,"28,643",5.6,"22,934",4.2,"1,056,907 508,247 548,634","1,056,907","508,247","548,634","452,948",42.9,"210,760 41.5","210,760",41.5,"242,178",44.1
598,IKUTHA,"16,579",6.4,0.5,12.5,12.8,0.4,2.3,40.5 7.8 15.3,40.5,7.8,15.3,1.2,0.3,-,-,0,"16,579",0.4,6.1,47.8,0.2,0.7,6.1,10.4 22.1 0.1,10.4,22.1,0.1,0,0.4,0.8,4.5,0.3,0,"77,563 37,282 40,281","77,563","37,282","40,281","7,569",9.8,"4,211 11.3","4,211",11.3,"3,358",8.3,"2,527","3.3 1,446 3.9 1,081",3.3,"1,446",3.9,"1,081",2.7,"77,563 37,282 40,281","77,563","37,282","40,281","28,363",36.6,"13,056 35.0","13,056",35.0,"15,307",38.0
599,KATULANI,"12,166",17.7,0.4,12.6,9.2,0.4,1,46.7 9.1 2.3,46.7,9.1,2.3,0.5,0.2,-,-,-,"12,166",0.1,0.2,80.4,0.2,0.1,3.8,0.7 4.2 1.4,0.7,4.2,1.4,0.6,0.6,3.5,2,2,-,"44,328 21,770 22,557","44,328","21,770","22,557","6,951",15.7,"3,691 17.0","3,691",17.0,"3,260",14.5,"2,418","5.5 1,349 6.2 1,069",5.5,"1,349",6.2,"1,069",4.7,"44,328 21,770 22,557","44,328","21,770","22,557","21,392",48.3,"10,100 46.4","10,100",46.4,"11,291",50.1
600,KISASI,"10,860",12.3,0.8,17.2,16,0.3,0.2,38.0 9.5 4.7,38.0,9.5,4.7,0.9,0.1,-,0,0,"10,860",0.5,4.8,55,0.7,0.3,11,5.1 11.0 0.2,5.1,11.0,0.2,0.2,0.3,1.6,6.1,3,0,"43,226 21,140 22,086","43,226","21,140","22,086","5,124",11.9,"2,767 13.1","2,767",13.1,"2,357",10.7,"1,409",3.3 811 3.8 598,3.3,811,3.8,598,2.7,"43,226 21,140 22,086","43,226","21,140","22,086","18,824",43.5,"8,707 41.2","8,707",41.2,"10,117",45.8
601,KITUI CENTRAL,"29,026",48.5,0.5,10.9,6.7,0.2,0.2,24.8 4.1 2.0,24.8,4.1,2.0,1.6,0.3,0,-,0,"29,026",0.8,0.4,31.6,1.2,1.1,6.2,5.3 5.6 9.6,5.3,5.6,9.6,7.4,3.6,2.6,10.3,14.4,0,"97,406 47,435 49,968","97,406","47,435","49,968","24,129",24.8,"12,224 25.8","12,224",25.8,"11,905",23.8,"10,163","10.4 5,350 11.3 4,813",10.4,"5,350",11.3,"4,813",9.6,"97,406 47,435 49,968","97,406","47,435","49,968","53,137",54.6,"25,179 53.1","25,179",53.1,"27,955",55.9
602,KITUI WEST,"17,465",20.7,0.9,13.5,9.6,0.2,0.3,48.3 4.6 1.0,48.3,4.6,1.0,0.6,0.3,0,-,-,"17,465",0.7,5.1,15.1,1.6,1.4,4.8,3.5 26.0 4.5,3.5,26.0,4.5,3,1.2,7.1,8.4,17.6,-,"66,202 31,558 34,643","66,202","31,558","34,643","11,587",17.5,"6,010 19.0","6,010",19.0,"5,577",16.1,"4,063","6.1 2,236 7.1 1,827",6.1,"2,236",7.1,"1,827",5.3,"66,202 31,558 34,643","66,202","31,558","34,643","32,561",49.2,"14,822 47.0","14,822",47.0,"17,739",51.2
603,KYUSO,"15,969",7.1,0.5,10.7,9.8,0.4,3.3,36.1 6.6 24.5,36.1,6.6,24.5,0.7,0.3,0.1,0,0,"15,969",2.2,8.3,36.3,1.2,1.1,15,8.6 12.0 1.2,8.6,12.0,1.2,1.2,0.4,1,1.9,9.5,0,"71,052 33,864 37,187","71,052","33,864","37,187","6,949",9.8,"3,894 11.5","3,894",11.5,"3,055",8.2,"2,443","3.4 1,385 4.1 1,058",3.4,"1,385",4.1,"1,058",2.8,"71,052 33,864 37,187","71,052","33,864","37,187","27,089",38.1,"12,630 37.3","12,630",37.3,"14,459",38.9
604,LOWER YATTA,"15,021",10.1,0.6,12.4,7.6,0.3,1.9,52.1 7.5 6.7,52.1,7.5,6.7,0.6,0.3,0,-,0,"15,021",0.2,3.3,48.4,0.7,0.9,4.2,2.3 23.5 1.9,2.3,23.5,1.9,1.4,0.7,0.9,4,7.3,0,"59,184 29,535 29,649","59,184","29,535","29,649","8,568",14.5,"4,804 16.3","4,804",16.3,"3,764",12.7,"2,816","4.8 1,631 5.5 1,185",4.8,"1,631",5.5,"1,185",4.0,"59,184 29,535 29,649","59,184","29,535","29,649","27,203",46.0,"13,333 45.1","13,333",45.1,"13,870",46.8
605,MATINYANI,"11,497",23.3,0.5,14.7,12.1,0.1,0.6,39.5 6.7 1.7,39.5,6.7,1.7,0.5,0.2,0,0,-,"11,497",0.1,2.5,52.5,0.9,0.8,3.3,4.7 4.1 4.7,4.7,4.1,4.7,3.9,0.3,3.1,5.4,14,-,"44,779 21,869 22,909","44,779","21,869","22,909","7,011",15.7,"3,807 17.4","3,807",17.4,"3,204",14.0,"2,454","5.5 1,381 6.3 1,073",5.5,"1,381",6.3,"1,073",4.7,"44,779 21,869 22,909","44,779","21,869","22,909","21,678",48.4,"10,140 46.4","10,140",46.4,"11,538",50.4
606,MIGWANI,"18,843",15.5,0.6,19.4,9.1,0.1,0.4,48.3 3.8 1.9,48.3,3.8,1.9,0.4,0.6,0,-,0,"18,843",0.5,14.9,29.8,0.2,0.4,5.4,3.3 18.3 2.5,3.3,18.3,2.5,2.5,0.4,7.3,3.3,11.2,0,"73,803 34,807 38,993","73,803","34,807","38,993","11,547",15.6,"6,105 17.5","6,105",17.5,"5,441",14.0,"4,047","5.5 2,217 6.4 1,829",5.5,"2,217",6.4,"1,829",4.7,"73,803 34,807 38,993","73,803","34,807","38,993","35,851",48.6,"16,067 46.2","16,067",46.2,"19,782",50.7
607,MUMONI,"6,451",4,0.4,13.4,10.1,0.1,1.5,39.2 6.0 24.2,39.2,6.0,24.2,0.9,0.2,0.1,-,0,"6,451",0,3.5,68.1,0.1,0,3.3,3.4 0.8 1.3,3.4,0.8,1.3,0.6,0,0.7,1.8,16.3,0,"27,319 12,732 14,587","27,319","12,732","14,587","3,126",11.4,"1,711 13.4","1,711",13.4,"1,415",9.7,960,3.5 570 4.5 390,3.5,570,4.5,390,2.7,"27,319 12,732 14,587","27,319","12,732","14,587","10,778",39.5,"4,910 38.6","4,910",38.6,"5,868",40.2
608,MUTITU,"11,490",4.4,0.5,13.9,10.4,0.2,8.4,32.3 6.6 22.1,32.3,6.6,22.1,0.8,0.2,-,-,0.1,"11,490",1.1,1.6,57.3,0.5,0.4,8.6,6.7 8.1 1.2,6.7,8.1,1.2,1.7,0.1,0.4,2.4,9.8,0.1,"51,464 24,422 27,040","51,464","24,422","27,040","4,526",8.8,"2,476 10.1","2,476",10.1,"2,050",7.6,"1,597",3.1 881 3.6 716,3.1,881,3.6,716,2.6,"51,464 24,422 27,040","51,464","24,422","27,040","17,394",33.8,"7,976 32.7","7,976",32.7,"9,418",34.8
609,MUTITU NORTH,"4,929",8.3,0.2,11.6,7.9,0,1,43.5 6.0 20.5,43.5,6.0,20.5,0.7,0.3,-,-,0,"4,929",0.9,0.1,27.8,0.5,2.7,12.6,10.2 19.1 1.3,10.2,19.1,1.3,1.2,0.4,1.1,3.5,18.5,0,"19,815 9,620 10,194","19,815","9,620","10,194","2,171",11.0,"1,152 12.0","1,152",12.0,"1,019",10.0,817,4.1 465 4.8 352,4.1,465,4.8,352,3.5,"19,815 9,620 10,194","19,815","9,620","10,194","8,288",41.8,"3,832 39.8","3,832",39.8,"4,456",43.7
610,MUTOMO,"23,034",6.5,0.4,14.5,8.6,0.2,4.3,35.3 11.9 17.2,35.3,11.9,17.2,0.8,0.4,0,0,0,"23,034",0.7,18.2,41.6,1.4,0.7,3.6,5.5 14.6 0.2,5.5,14.6,0.2,0.6,0.9,2.3,6.9,2.8,0,"105,422 50,656 54,761","105,422","50,656","54,761","10,975",10.4,"5,925 11.7","5,925",11.7,"5,049",9.2,"3,986","3.8 2,284 4.5 1,702",3.8,"2,284",4.5,"1,702",3.1,"105,422 50,656 54,761","105,422","50,656","54,761","36,746",34.9,"17,104 33.8","17,104",33.8,"19,640",35.9
611,MWINGI CENTRAL,"26,745",26.7,0.6,17.3,9.8,0.1,0.6,32.9 2.7 7.0,32.9,2.7,7.0,2,0.3,0,0,0,"26,745",1.4,4.8,40.8,0.6,0.8,2.8,4.5 6.1 5.5,4.5,6.1,5.5,4.2,0.7,1.2,11.4,15.3,0,"100,501 48,132 52,369","100,501","48,132","52,369","15,197",15.1,"7,951 16.5","7,951",16.5,"7,246",13.8,"5,672","5.6 3,089 6.4 2,583",5.6,"3,089",6.4,"2,583",4.9,"100,501 48,132 52,369","100,501","48,132","52,369","46,029",45.8,"21,262 44.2","21,262",44.2,"24,767",47.3
612,MWINGI EAST,"18,725",6.7,0.4,12.2,9.8,0.4,2.5,35.6 7.3 24.1,35.6,7.3,24.1,0.5,0.4,0,0,0,"18,725",0.3,2.3,40.1,2.3,0.9,5.5,7.6 22.3 0.6,7.6,22.3,0.6,0.5,0.2,0.8,7.1,9.4,0,"79,205 37,382 41,818","79,205","37,382","41,818","7,304",9.2,"4,005 10.7","4,005",10.7,"3,298",7.9,"2,323","2.9 1,325 3.5 997",2.9,"1,325",3.5,997,2.4,"79,205 37,382 41,818","79,205","37,382","41,818","29,666",37.5,"13,296 35.6","13,296",35.6,"16,368",39.1
613,NZAMBANI,"11,276",23.5,0.6,20.1,10.3,0,1,29.1 7.9 5.5,29.1,7.9,5.5,1.4,0.5,0,-,-,"11,276",0.6,1.9,39.3,1,0.9,16.5,10.5 13.6 1.5,10.5,13.6,1.5,1.7,0.9,3.7,4.8,3,-,"43,682 21,356 22,324","43,682","21,356","22,324","6,313",14.5,"3,419 16.0","3,419",16.0,"2,894",13.0,"2,337","5.4 1,299 6.1 1,038",5.4,"1,299",6.1,"1,038",4.6,"43,682 21,356 22,324","43,682","21,356","22,324","19,950",45.7,"9,479 44.4","9,479",44.4,"10,471",46.9
614,THAGICU,"3,289",1.6,0.1,3.3,1.9,0.1,3.3,27.6 5.7 56.2,27.6,5.7,56.2,0.2,0,-,0.1,-,"3,289",1.2,0.6,62.9,0.1,0.2,0.3,27.8 0.7 0.0,27.8,0.7,0.0,0.5,0.1,0.2,0.8,4.6,-,"14,025 6,591 7,433","14,025","6,591","7,433","1,127",8.0,683 10.4,683,10.4,444,6.0,450,3.2 261 4.0 189,3.2,261,4.0,189,2.5,"14,025 6,591 7,433","14,025","6,591","7,433","4,857",34.6,"2,407 36.5","2,407",36.5,"2,450",33.0
615,TSEIKURU,"8,449",6.4,0.3,5.8,4.7,0.2,5.7,24.2 14.5 37.4,24.2,14.5,37.4,0.7,0.2,0,-,-,"8,449",0.4,5.7,43.9,0.6,0.6,16.6,15.4 12.5 0.7,15.4,12.5,0.7,0.2,0.4,0.4,0.8,1.9,-,"37,931 18,096 19,835","37,931","18,096","19,835","3,166",8.3,"1,866 10.3","1,866",10.3,"1,300",6.6,"1,097",2.9 663 3.7 434,2.9,663,3.7,434,2.2,"37,931 18,096 19,835","37,931","18,096","19,835","13,142",34.6,"6,460 35.7","6,460",35.7,"6,682",33.7
616,MACHAKOS,"399,523",48.3,0.6,11.6,7.7,0.1,0.2,25.6 2.9 0.9,25.6,2.9,0.9,1.8,0.3,0,0,0,"399,523",0.8,3.9,13.6,3.5,4.1,5.5,4.4 23.2 3.4,4.4,23.2,3.4,3.1,5.7,5.1,16.8,7.1,0,"1,327,172 661,982 665,162","1,327,172","661,982","665,162","342,005",25.8,"181,709 27.4","181,709",27.4,"160,291",24.1,"156,435","11.8 85,368 12.9 71,065",11.8,"85,368",12.9,"71,065",10.7,"1,327,172 661,982 665,162","1,327,172","661,982","665,162","748,673",56.4,"366,764 55.4","366,764",55.4,"381,894",57.4
617,ATHI RIVER,"109,723",84.7,0.4,3,2.3,0.1,0.1,5.1 0.6 0.4,5.1,0.6,0.4,3.1,0.2,0,0,0.1,"109,723",0.3,0.4,0.4,0.4,0.3,1.5,0.2 17.4 5.3,0.2,17.4,5.3,4.5,14.1,4,42.2,9,0.1,"295,790 150,511 145,277","295,790","150,511","145,277","142,746",48.3,"75,434 50.1","75,434",50.1,"67,312",46.3,"77,316","26.1 41,515 27.6 35,801",26.1,"41,515",27.6,"35,801",24.6,"295,790 150,511 145,277","295,790","150,511","145,277","204,354",69.1,"105,551 70.1","105,551",70.1,"98,802",68.0
618,KALAMA,"14,137",26.4,1,17.7,11.1,0.2,0.3,36.0 5.3 0.9,36.0,5.3,0.9,0.7,0.3,0,0,0,"14,137",1.2,16.6,19.2,5.3,7.9,3.5,6.7 13.9 0.2,6.7,13.9,0.2,0.7,1.1,16.5,6.5,0.5,0,"51,542 25,273 26,264","51,542","25,273","26,264","8,266",16.0,"4,512 17.9","4,512",17.9,"3,754",14.3,"2,754","5.3 1,578 6.2 1,176",5.3,"1,578",6.2,"1,176",4.5,"51,542 25,273 26,264","51,542","25,273","26,264","26,890",52.2,"12,743 50.4","12,743",50.4,"14,144",53.9
619,KANGUNDO,"26,115",38,0.5,16.8,9.7,0.1,0.1,28.8 4.2 0.5,28.8,4.2,0.5,1.1,0.2,0,0,0,"26,115",1.8,0.3,6,13.4,7.8,12.7,5.5 25.4 1.7,5.5,25.4,1.7,1.1,0.7,8.1,7.5,8,0,"92,505 45,935 46,569","92,505","45,935","46,569","15,904",17.2,"8,680 18.9","8,680",18.9,"7,224",15.5,"6,212","6.7 3,534 7.7 2,678",6.7,"3,534",7.7,"2,678",5.8,"92,505 45,935 46,569","92,505","45,935","46,569","48,955",52.9,"23,248 50.6","23,248",50.6,"25,706",55.2
620,KATHIANI,"28,730",34.7,0.7,18.4,11,0.1,0.3,26.4 6.0 0.9,26.4,6.0,0.9,1.2,0.2,0,-,0,"28,730",1.2,4.4,11.9,10.3,17.1,7.3,15.8 19.3 1.2,15.8,19.3,1.2,1.6,0.5,5.7,2.2,1.4,0,"105,562 51,709 53,849","105,562","51,709","53,849","15,883",15.0,"8,847 17.1","8,847",17.1,"7,035",13.1,"6,570","6.2 3,750 7.3 2,820",6.2,"3,750",7.3,"2,820",5.2,"105,562 51,709 53,849","105,562","51,709","53,849","52,849",50.1,"24,824 48.0","24,824",48.0,"28,023",52.0
621,MACHAKOS SUBCOUNTY,"50,753",70.4,0.6,9.7,4.6,0,0.1,10.6 1.7 0.3,10.6,1.7,0.3,1.7,0.2,0,0,0,"50,753",0.7,2.1,5.4,3.3,7,8.5,3.5 24.1 4.5,3.5,24.1,4.5,5.6,8.4,6.5,13.3,7,0,"158,036 78,763 79,267","158,036","78,763","79,267","49,485",31.3,"25,554 32.4","25,554",32.4,"23,930",30.2,"22,269","14.1 11,932 15.1 10,336",14.1,"11,932",15.1,"10,336",13.0,"158,036 78,763 79,267","158,036","78,763","79,267","97,746",61.9,"47,906 60.8","47,906",60.8,"49,837",62.9
