County_slash_Sub_County,Total,Conventional_and_Group_Quarters,Conventional,Group_Quarters,TenureStatus_ConventionalHouseholds_Owned_Number,Owned_pct_Rented_num_Rented_pct_Not_Stated_num,TenureStatus_ConventionalHouseholds_Owned_pct,TenureStatus_ConventionalHouseholds_Rented_Slash_Provided_Number,TenureStatus_ConventionalHouseholds_Rented_Slash_Provided_Pct,TenureStatus_ConventionalHouseholds_Rented_Slash_Provided_Not_Stated_Number,TenureStatus_ConventionalHouseholds_Rented_Slash_Provided_Not_Stated_Pct
NYERI CENTRAL,"49,945","48,036 1,909",,,"18,872","39.3 29,154 60.7 10",,,,,0
MT. KENYA FOREST,101,101 -,,,27,26.7 74 73.3 -,,,,,-
ABERDARE FOREST,79,48 31,,,-,- 48 100.0 -,,,,,-
KIRINYAGA,"204,188","203,576 612",,,"142,225","69.9 61,325 30.1 26",,,,,0
KIRINYAGA CENTRAL,"40,225","40,149 76",,,"29,577","73.7 10,570 26.3 2",,,,,0
KIRINYAGA EAST,"44,571","44,509 62",,,"36,758","82.6 7,739 17.4 12",,,,,0
KIRINYAGA WEST,"38,309","37,951 358",,,"27,121","71.5 10,827 28.5 3",,,,,0
MWEA EAST,"46,340","46,331 9",,,"24,871","53.7 21,452 46.3 8",,,,,0
MWEA WEST,"34,720","34,613 107",,,"23,898","69.0 10,714 31.0 1",,,,,0
MT. KENYA FOREST,23,23 -,,,-,- 23 100.0 -,,,,,-
MURANG'A,"318,105","317,496 609",,,"242,262","76.3 75,177 23.7 57",,,,,0
MURANG'A EAST,"34,734","34,650 84",,,"22,256","64.2 12,390 35.8 4",,,,,0
KANGEMA,"25,293","25,283 10",,,"21,231","84.0 4,052 16.0 -",,,,,-
MATHIOYA,"28,400","28,372 28",,,"24,509","86.4 3,858 13.6 5",,,,,0
KAHURO,"26,930","26,778 152",,,"24,170","90.3 2,604 9.7 4",,,,,0
MURANG'A SOUTH,"55,998","55,878 120",,,"38,345","68.6 17,518 31.4 15",,,,,0
GATANGA,"55,461","55,340 121",,,"38,246","69.1 17,085 30.9 9",,,,,0
KIGUMO,"40,552","40,528 24",,,"32,237","79.5 8,282 20.4 9",,,,,0
KANDARA,"50,704","50,657 47",,,"41,268","81.5 9,378 18.5 11",,,,,0
ABERDARE FOREST,33,10 23,,,-,- 10 100.0 -,,,,,-
KIAMBU,"795,241","792,333 2,908",,,"294,040","37.1 498,012 62.9 281",,,,,0
GATUNDU NORTH,"31,472","31,452 20",,,"24,970","79.4 6,475 20.6 7",,,,,0
GATUNDU SOUTH,"35,609","35,577 32",,,"28,120","79.0 7,442 20.9 15",,,,,0
GITHUNGURI,"49,426","49,414 12",,,"35,436","71.7 13,963 28.3 15",,,,,0
JUJA,"104,301","104,042 259",,,"30,347","29.2 73,652 70.8 43",,,,,0
KABETE,"66,710","66,681 29",,,"23,937","35.9 42,720 64.1 24",,,,,0
