Place_county_or_subcounty,total_and_gender,number,at_school_or_learning_institution_number_and_percent,after_completion_number_and_percent,before_completion_number_and_percent,never_been_to_school_or_learning_institution_number_and_percent,dont_know_number,dont_know_number_percent,not_stated_number
RONGO,Male,"54,154","30,467 56.3","11,382 21.0","8,361 15.4","3,517 6.5",425,0.8,2
RONGO,Female,"60,218","29,757 49.4","11,483 19.1","12,603 20.9","5,864 9.7",503,0.8,8
SUNA EAST,SUNA EAST,"111,811","57,149 51.1","23,262 20.8","21,617 19.3","8,475 7.6","1,276",1.1,32
SUNA EAST,Male,"53,380","28,762 53.9","11,809 22.1","8,815 16.5","3,330 6.2",646,1.2,18
SUNA EAST,Female,"58,428","28,385 48.6","11,452 19.6","12,802 21.9","5,145 8.8",630,1.1,14
SUNA WEST,SUNA WEST,"115,745","58,786 50.8","19,815 17.1","22,302 19.3","13,764 11.9","1,073",0.9,5
SUNA WEST,Male,"54,921","29,543 53.8","10,068 18.3","9,148 16.7","5,625 10.2",534,1,3
SUNA WEST,Female,"60,823","29,243 48.1","9,747 16.0","13,153 21.6","8,139 13.4",539,0.9,2
URIRI,URIRI,"129,496","68,871 53.2","21,529 16.6","27,821 21.5","9,872 7.6","1,368",1.1,35
URIRI,Male,"62,155","35,294 56.8","11,059 17.8","11,288 18.2","3,788 6.1",709,1.1,17
URIRI,Female,"67,338","33,577 49.9","10,469 15.5","16,533 24.6","6,084 9.0",657,1,18
KISII,KISII,"1,179,067","557,477 47.3","250,730 21.3","248,244 21.1","116,381 9.9","6,092",0.5,143
KISII,Male,"561,241","282,802 50.4","127,184 22.7","104,190 18.6","43,902 7.8","3,097",0.6,66
KISII,Female,"617,793","274,662 44.5","123,540 20.0","144,048 23.3","72,471 11.7","2,995",0.5,77
ETAGO,ETAGO,"78,104","39,960 51.2","10,675 13.7","17,546 22.5","9,692 12.4",226,0.3,5
ETAGO,Male,"37,316","20,355 54.5","5,645 15.1","7,401 19.8","3,794 10.2",119,0.3,2
ETAGO,Female,"40,785","19,604 48.1","5,030 12.3","10,144 24.9","5,897 14.5",107,0.3,3
GUCHA,GUCHA,"77,635","37,772 48.7","15,315 19.7","16,278 21.0","7,445 9.6",803,1,22
GUCHA,Male,"36,552","19,109 52.3","7,576 20.7","6,657 18.2","2,762 7.6",438,1.2,10
GUCHA,Female,"41,082","18,663 45.4","7,739 18.8","9,621 23.4","4,682 11.4",365,0.9,12
GUCHA SOUTH,GUCHA SOUTH,"77,984","38,156 48.9","13,482 17.3","16,839 21.6","8,882 11.4",592,0.8,33
GUCHA SOUTH,Male,"37,202","19,473 52.3","6,840 18.4","7,187 19.3","3,402 9.1",282,0.8,18
GUCHA SOUTH,Female,"40,779","18,682 45.8","6,640 16.3","9,652 23.7","5,480 13.4",310,0.8,15
KENYENYA,KENYENYA,"122,925","59,619 48.5","23,835 19.4","26,141 21.3","12,676 10.3",644,0.5,10
KENYENYA,Male,"58,489","30,262 51.7","12,242 20.9","10,806 18.5","4,857 8.3",317,0.5,5
KENYENYA,Female,"64,434","29,356 45.6","11,593 18.0","15,335 23.8","7,818 12.1",327,0.5,5
KISII CENTRAL,KISII CENTRAL,"153,169","68,085 44.5","44,068 28.8","28,889 18.9","11,388 7.4",729,0.5,10
KISII CENTRAL,Male,"73,940","34,485 46.6","22,437 30.3","12,255 16.6","4,398 5.9",361,0.5,4
