Place_county_or_subcounty,total_and_gender,number,at_school_or_learning_institution_number_and_percent,after_completion_number_and_percent,before_completion_number_and_percent,never_been_to_school_or_learning_institution_number_and_percent,dont_know_number,dont_know_number_percent,not_stated_number
KIAMBU,KIAMBU,"2,231,514","778,586 34.9","1,013,910 45.4","326,845 14.6","98,594 4.4","13,057",0.6,522
KIAMBU,Male,"1,092,380","388,770 35.6","504,910 46.2","151,002 13.8","40,162 3.7","7,274",0.7,262
KIAMBU,Female,"1,139,012","389,788 34.2","508,948 44.7","175,810 15.4","58,423 5.1","5,783",0.5,260
GATUNDU NORTH,GATUNDU NORTH,"102,915","36,935 35.9","36,830 35.8","21,494 20.9","7,082 6.9",557,0.5,17
GATUNDU NORTH,Male,"50,634","18,737 37.0","18,964 37.5","10,190 20.1","2,405 4.7",331,0.7,7
GATUNDU NORTH,Female,"52,279","18,198 34.8","17,865 34.2","11,303 21.6","4,677 8.9",226,0.4,10
GATUNDU SOUTH,GATUNDU SOUTH,"114,575","39,811 34.7","43,889 38.3","21,707 18.9","8,355 7.3",771,0.7,42
GATUNDU SOUTH,Male,"56,630","20,339 35.9","22,679 40.0","10,298 18.2","2,865 5.1",432,0.8,17
GATUNDU SOUTH,Female,"57,941","19,470 33.6","21,209 36.6","11,408 19.7","5,490 9.5",339,0.6,25
GITHUNGURI,GITHUNGURI,"155,046","53,711 34.6","63,053 40.7","28,090 18.1","9,457 6.1",716,0.5,19
GITHUNGURI,Male,"76,874","27,194 35.4","32,136 41.8","13,548 17.6","3,572 4.6",414,0.5,10
GITHUNGURI,Female,"78,164","26,515 33.9","30,916 39.6","14,538 18.6","5,884 7.5",302,0.4,9
JUJA,JUJA,"277,171","102,232 36.9","128,017 46.2","35,625 12.9","9,567 3.5","1,655",0.6,75
JUJA,Male,"136,491","51,283 37.6","63,526 46.5","16,351 12.0","4,326 3.2",966,0.7,39
JUJA,Female,"140,658","50,944 36.2","64,483 45.8","19,268 13.7","5,238 3.7",689,0.5,36
KABETE,KABETE,"184,688","62,008 33.6","89,489 48.5","25,173 13.6","6,810 3.7","1,165",0.6,43
KABETE,Male,"90,196","30,762 34.1","44,509 49.3","11,351 12.6","2,917 3.2",638,0.7,19
KABETE,Female,"94,478","31,246 33.1","44,969 47.6","13,819 14.6","3,893 4.1",527,0.6,24
KIAMBAA,KIAMBAA,"218,165","71,027 32.6","104,756 48.0","31,176 14.3","9,649 4.4","1,474",0.7,83
KIAMBAA,Male,"106,623","34,903 32.7","52,380 49.1","14,516 13.6","4,010 3.8",770,0.7,44
KIAMBAA,Female,"111,530","36,121 32.4","52,372 47.0","16,658 14.9","5,636 5.1",704,0.6,39
KIAMBU,KIAMBU,"133,949","43,881 32.8","65,022 48.5","18,408 13.7","5,755 4.3",822,0.6,61
KIAMBU,Male,"63,471","21,477 33.8","31,001 48.8","8,202 12.9","2,362 3.7",397,0.6,32
KIAMBU,Female,"70,464","22,402 31.8","34,013 48.3","10,203 14.5","3,392 4.8",425,0.6,29
KIKUYU,KIKUYU,"172,833","59,423 34.4","82,430 47.7","23,152 13.4","7,080 4.1",733,0.4,15
KIKUYU,Male,"83,603","29,466 35.2","40,300 48.2","10,468 12.5","2,982 3.6",380,0.5,7
KIKUYU,Female,"89,226","29,957 33.6","42,129 47.2","12,681 14.2","4,098 4.6",353,0.4,8
LARI,LARI,"125,884","47,619 37.8","45,493 36.1","24,225 19.2","7,784 6.2",755,0.6,8
LARI,Male,"62,427","24,207 38.8","23,164 37.1","11,564 18.5","3,053 4.9",436,0.7,3
LARI,Female,"63,454","23,410 36.9","22,329 35.2","12,661 20.0","4,730 7.5",319,0.5,5
LIMURU,LIMURU,"147,004","53,174 36.2","62,532 42.5","23,212 15.8","7,384 5.0",680,0.5,22
LIMURU,Male,"73,445","26,851 36.6","32,177 43.8","11,227 15.3","2,777 3.8",400,0.5,13
LIMURU,Female,"73,559","26,323 35.8","30,355 41.3","11,985 16.3","4,607 6.3",280,0.4,9
RUIRU,RUIRU,"340,681","116,732 34.3","169,893 49.9","40,834 12.0","10,509 3.1","2,635",0.8,78
RUIRU,Male,"165,256","57,530 34.8","83,728 50.7","17,721 10.7","4,779 2.9","1,455",0.9,43
RUIRU,Female,"175,406","59,195 33.7","86,158 49.1","23,108 13.2","5,730 3.3","1,180",0.7,35
THIKA EAST,THIKA EAST,"35,971","12,908 35.9","13,773 38.3","7,090 19.7","2,033 5.7",160,0.4,7
THIKA EAST,Male,"18,224","6,498 35.7","7,316 40.1","3,504 19.2",802 4.4,102,0.6,2
THIKA EAST,Female,"17,743","6,410 36.1","6,456 36.4","3,583 20.2","1,231 6.9",58,0.3,5
THIKA WEST,THIKA WEST,"222,632","79,125 35.5","108,733 48.8","26,659 12.0","7,129 3.2",934,0.4,52
THIKA WEST,Male,"108,506","39,523 36.4","53,030 48.9","12,062 11.1","3,312 3.1",553,0.5,26
THIKA WEST,Female,"114,110","39,597 34.7","55,694 48.8","14,595 12.8","3,817 3.3",381,0.3,26
TURKANA,TURKANA,"851,797","184,015 21.6","33,028 3.9","28,982 3.4","584,977 68.7","20,077",2.4,718
TURKANA,Male,"439,467","98,266 22.4","21,042 4.8","14,573 3.3","294,430 67.0","10,795",2.5,361
TURKANA,Female,"412,311","85,746 20.8","11,986 2.9","14,409 3.5","290,531 70.5","9,282",2.3,357
KIBISH,KIBISH,"33,611","2,577 7.7",277 0.8,315 0.9,"30,064 89.4",378,1.1,-
KIBISH,Male,"17,046","1,516 8.9",219 1.3,167 1.0,"14,978 87.9",166,1,-
KIBISH,Female,"16,564","1,060 6.4",58 0.4,148 0.9,"15,086 91.1",212,1.3,-
LOIMA,LOIMA,"98,183","14,212 14.5","1,109 1.1","2,003 2.0","78,451 79.9","2,298",2.3,110
LOIMA,Male,"49,440","7,292 14.7",762 1.5,997 2.0,"39,101 79.1","1,231",2.5,57
LOIMA,Female,"48,743","6,920 14.2",347 0.7,"1,006 2.1","39,350 80.7","1,067",2.2,53
TURKANA CENTRAL,TURKANA CENTRAL,"166,135","53,043 31.9","15,618 9.4","12,800 7.7","82,792 49.8","1,826",1.1,56
TURKANA CENTRAL,Male,"82,906","27,137 32.7","9,280 11.2","6,396 7.7","39,087 47.1",977,1.2,29
TURKANA CENTRAL,Female,"83,229","25,906 31.1","6,338 7.6","6,404 7.7","43,705 52.5",849,1,27
TURKANA EAST,TURKANA EAST,"130,834","16,281 12.4","2,663 2.0","1,728 1.3","105,534 80.7","4,477",3.4,151
TURKANA EAST,Male,"72,914","8,857 12.1","1,708 2.3",883 1.2,"58,792 80.6","2,588",3.5,86
TURKANA EAST,Female,"57,908","7,424 12.8",955 1.6,845 1.5,"46,730 80.7","1,889",3.3,65
TURKANA NORTH,TURKANA NORTH,"59,378","9,689 16.3","1,120 1.9","1,079 1.8","45,956 77.4","1,530",2.6,4
TURKANA NORTH,Male,"29,770","5,249 17.6",842 2.8,655 2.2,"22,186 74.5",836,2.8,2
TURKANA NORTH,Female,"29,608","4,440 15.0",278 0.9,424 1.4,"23,770 80.3",694,2.3,2
TURKANA SOUTH,TURKANA SOUTH,"142,538","31,741 22.3","4,851 3.4","4,591 3.2","98,044 68.8","3,226",2.3,85
TURKANA SOUTH,Male,"72,846","16,213 22.3","3,159 4.3","2,175 3.0","49,570 68.0","1,689",2.3,40
TURKANA SOUTH,Female,"69,688","15,526 22.3","1,692 2.4","2,416 3.5","48,472 69.6","1,537",2.2,45
TURKANA WEST,TURKANA WEST,"221,118","56,472 25.5","7,390 3.3","6,466 2.9","144,136 65.2","6,342",2.9,312
TURKANA WEST,Male,"114,545","32,002 27.9","5,072 4.4","3,300 2.9","70,716 61.7","3,308",2.9,147
TURKANA WEST,Female,"106,571","24,470 23.0","2,318 2.2","3,166 3.0","73,418 68.9","3,034",2.8,165
WEST POKOT,WEST POKOT,"553,584","235,136 42.5","36,841 6.7","56,672 10.2","218,972 39.6","5,860",1.1,103
WEST POKOT,Male,"272,728","119,842 43.9","20,733 7.6","28,006 10.3","101,121 37.1","2,978",1.1,48
WEST POKOT,Female,"280,844","115,287 41.1","16,108 5.7","28,666 10.2","117,846 42.0","2,882",1,55
KIPKOMO,KIPKOMO,"91,581","48,572 53.0","6,410 7.0","12,468 13.6","23,302 25.4",829,0.9,-
KIPKOMO,Male,"45,307","24,703 54.5","3,569 7.9","6,181 13.6","10,398 23.0",456,1,-
KIPKOMO,Female,"46,268","23,865 51.6","2,841 6.1","6,287 13.6","12,902 27.9",373,0.8,-
POKOT CENTRAL,POKOT CENTRAL,"106,071","42,955 40.5","3,926 3.7","11,271 10.6","47,095 44.4",806,0.8,18
POKOT CENTRAL,Male,"53,164","22,218 41.8","2,484 4.7","5,871 11.0","22,191 41.7",393,0.7,7
POKOT CENTRAL,Female,"52,905","20,736 39.2","1,442 2.7","5,400 10.2","24,903 47.1",413,0.8,11
POKOT NORTH,POKOT NORTH,"118,673","27,221 22.9","3,081 2.6","3,584 3.0","83,724 70.6","1,005",0.8,58
POKOT NORTH,Male,"56,999","13,774 24.2","1,929 3.4","1,718 3.0","39,056 68.5",497,0.9,25
POKOT NORTH,Female,"61,672","13,447 21.8","1,152 1.9","1,866 3.0","44,666 72.4",508,0.8,33
POKOT SOUTH,POKOT SOUTH,"72,458","41,818 57.7","5,071 7.0","9,784 13.5","14,667 20.2","1,118",1.5,-
POKOT SOUTH,Male,"35,681","21,211 59.4","2,853 8.0","4,663 13.1","6,391 17.9",563,1.6,-
POKOT SOUTH,Female,"36,775","20,605 56.0","2,218 6.0","5,121 13.9","8,276 22.5",555,1.5,-
WEST POKOT,WEST POKOT,"164,801","74,570 45.2","18,353 11.1","19,565 11.9","50,184 30.5","2,102",1.3,27
WEST POKOT,Male,"81,577","37,936 46.5","9,898 12.1","9,573 11.7","23,085 28.3","1,069",1.3,16
WEST POKOT,Female,"83,224","36,634 44.0","8,455 10.2","9,992 12.0","27,099 32.6","1,033",1.2,11
SAMBURU,SAMBURU,"279,891","86,608 30.9","21,260 7.6","12,334 4.4","157,284 56.2","2,377",0.8,28
SAMBURU,Male,"141,072","46,092 32.7","12,778 9.1","6,193 4.4","74,619 52.9","1,378",1,12
SAMBURU,Female,"138,814","40,515 29.2","8,482 6.1","6,141 4.4","82,661 59.5",999,0.7,16
SAMBURU CENTRAL,SAMBURU CENTRAL,"149,358","55,364 37.1","13,832 9.3","8,173 5.5","70,391 47.1","1,578",1.1,20
SAMBURU CENTRAL,Male,"75,738","29,444 38.9","8,136 10.7","4,095 5.4","33,148 43.8",906,1.2,9
SAMBURU CENTRAL,Female,"73,618","25,920 35.2","5,696 7.7","4,078 5.5","37,241 50.6",672,0.9,11
SAMBURU EAST,SAMBURU EAST,"69,944","17,726 25.3","4,901 7.0","2,660 3.8","44,187 63.2",469,0.7,1
SAMBURU EAST,Male,"34,048","9,425 27.7","2,925 8.6","1,338 3.9","20,058 58.9",302,0.9,-
SAMBURU EAST,Female,"35,896","8,301 23.1","1,976 5.5","1,322 3.7","24,129 67.2",167,0.5,1
SAMBURU NORTH,SAMBURU NORTH,"60,589","13,518 22.3","2,527 4.2","1,501 2.5","42,706 70.5",330,0.5,7
SAMBURU NORTH,Male,"31,286","7,223 23.1","1,717 5.5",760 2.4,"21,413 68.4",170,0.5,3
SAMBURU NORTH,Female,"29,300","6,294 21.5",810 2.8,741 2.5,"21,291 72.7",160,0.5,4
TRANS NZOIA,TRANS NZOIA,"911,209","440,977 48.4","173,534 19.0","193,088 21.2","93,829 10.3","9,713",1.1,68
TRANS NZOIA,Male,"448,487","224,218 50.0","88,354 19.7","88,076 19.6","42,289 9.4","5,518",1.2,32
TRANS NZOIA,Female,"462,701","216,747 46.8","85,175 18.4","105,011 22.7","51,537 11.1","4,195",0.9,36
TRANS NZOIA WEST,TRANS NZOIA WEST,"184,140","87,077 47.3","37,213 20.2","40,774 22.1","16,704 9.1","2,336",1.3,36
TRANS NZOIA WEST,Male,"91,254","44,064 48.3","19,546 21.4","18,587 20.4","7,632 8.4","1,408",1.5,17
TRANS NZOIA WEST,Female,"92,883","43,011 46.3","17,666 19.0","22,187 23.9","9,072 9.8",928,1,19
TRANS NZOIA EAST,TRANS NZOIA EAST,"212,422","105,393 49.6","40,482 19.1","41,794 19.7","22,014 10.4","2,727",1.3,12
TRANS NZOIA EAST,Male,"104,721","53,788 51.4","20,509 19.6","19,023 18.2","9,910 9.5","1,487",1.4,4
TRANS NZOIA EAST,Female,"107,693","51,600 47.9","19,973 18.5","22,770 21.1","12,102 11.2","1,240",1.2,8
KWANZA,KWANZA,"188,466","91,168 48.4","34,511 18.3","38,048 20.2","22,405 11.9","2,326",1.2,8
KWANZA,Male,"92,532","46,409 50.2","17,438 18.8","17,330 18.7","10,091 10.9","1,259",1.4,5
KWANZA,Female,"95,931","44,758 46.7","17,071 17.8","20,718 21.6","12,314 12.8","1,067",1.1,3
ENDEBESS,ENDEBESS,"102,457","50,202 49.0","12,036 11.7","25,440 24.8","14,151 13.8",626,0.6,2
ENDEBESS,Male,"51,455","25,839 50.2","6,657 12.9","12,023 23.4","6,541 12.7",394,0.8,1
ENDEBESS,Female,"50,999","24,361 47.8","5,378 10.5","13,417 26.3","7,610 14.9",232,0.5,1
KIMININI,KIMININI,"223,724","107,137 47.9","49,292 22.0","47,032 21.0","18,555 8.3","1,698",0.8,10
KIMININI,Male,"108,525","54,118 49.9","24,204 22.3","21,113 19.5","8,115 7.5",970,0.9,5
KIMININI,Female,"115,195","53,017 46.0","25,087 21.8","25,919 22.5","10,439 9.1",728,0.6,5
UASIN GISHU,UASIN GISHU,"1,070,335","480,402 44.9","321,505 30.0","180,625 16.9","79,032 7.4","8,633",0.8,138
UASIN GISHU,Male,"531,769","241,839 45.5","163,748 30.8","85,855 16.1","35,299 6.6","4,960",0.9,68
UASIN GISHU,Female,"538,543","238,555 44.3","157,748 29.3","94,766 17.6","43,731 8.1","3,673",0.7,70
AINABKOI,AINABKOI,"127,533","57,988 45.5","41,597 32.6","17,693 13.9","9,538 7.5",706,0.6,11
AINABKOI,Male,"62,850","29,057 46.2","20,815 33.1","8,471 13.5","4,122 6.6",380,0.6,5
AINABKOI,Female,"64,683","28,931 44.7","20,782 32.1","9,222 14.3","5,416 8.4",326,0.5,6
KAPSERET,KAPSERET,"182,852","77,598 42.4","63,881 34.9","30,189 16.5","9,559 5.2","1,578",0.9,47
KAPSERET,Male,"91,412","38,581 42.2","32,800 35.9","14,635 16.0","4,379 4.8",995,1.1,22
KAPSERET,Female,"91,436","39,017 42.7","31,080 34.0","15,551 17.0","5,180 5.7",583,0.6,25
KESSES,KESSES,"137,814","65,544 47.6","36,970 26.8","22,931 16.6","11,734 8.5",622,0.5,13
KESSES,Male,"68,811","33,580 48.8","18,727 27.2","10,957 15.9","5,201 7.6",339,0.5,7
KESSES,Female,"69,000","31,962 46.3","18,242 26.4","11,974 17.4","6,533 9.5",283,0.4,6
MOIBEN,MOIBEN,"165,378","73,257 44.3","54,495 33.0","24,508 14.8","11,894 7.2","1,209",0.7,15
MOIBEN,Male,"81,639","36,585 44.8","27,183 33.3","11,710 14.3","5,532 6.8",623,0.8,6
MOIBEN,Female,"83,737","36,672 43.8","27,310 32.6","12,798 15.3","6,362 7.6",586,0.7,9
SOY,SOY,"211,662","100,702 47.6","48,947 23.1","42,352 20.0","17,599 8.3","2,035",1,27
SOY,Male,"105,136","51,374 48.9","24,693 23.5","20,093 19.1","7,783 7.4","1,176",1.1,17
SOY,Female,"106,521","49,326 46.3","24,251 22.8","22,259 20.9","9,816 9.2",859,0.8,10
TURBO,TURBO,"245,096","105,313 43.0","75,615 30.9","42,952 17.5","18,708 7.6","2,483",1,25
TURBO,Male,"121,921","52,662 43.2","39,530 32.4","19,989 16.4","8,282 6.8","1,447",1.2,11
TURBO,Female,"123,166","52,647 42.7","36,083 29.3","22,962 18.6","10,424 8.5","1,036",0.8,14
ELGEYO/MARAKWET,ELGEYO/MARAKWET,"418,765","203,979 48.7","93,397 22.3","65,739 15.7","52,047 12.4","3,541",0.8,62
ELGEYO/MARAKWET,Male,"209,151","103,310 49.4","48,510 23.2","31,890 15.2","23,622 11.3","1,789",0.9,30
ELGEYO/MARAKWET,Female,"209,602","100,663 48.0","44,886 21.4","33,847 16.1","28,423 13.6","1,751",0.8,32
KEIYO NORTH,KEIYO NORTH,"91,430","42,628 46.6","28,055 30.7","12,537 13.7","7,697 8.4",498,0.5,15
KEIYO NORTH,Male,"45,566","21,499 47.2","14,415 31.6","5,895 12.9","3,492 7.7",259,0.6,6
KEIYO NORTH,Female,"45,863","21,128 46.1","13,640 29.7","6,642 14.5","4,205 9.2",239,0.5,9
KEIYO SOUTH,KEIYO SOUTH,"112,236","53,990 48.1","29,430 26.2","17,097 15.2","9,984 8.9","1,715",1.5,20
KEIYO SOUTH,Male,"56,593","27,641 48.8","15,165 26.8","8,446 14.9","4,468 7.9",864,1.5,9
KEIYO SOUTH,Female,"55,639","26,348 47.4","14,264 25.6","8,650 15.5","5,515 9.9",851,1.5,11
MARAKWET EAST,MARAKWET EAST,"88,986","45,934 51.6","12,143 13.6","12,906 14.5","17,694 19.9",308,0.3,1
MARAKWET EAST,Male,"43,796","23,055 52.6","6,574 15.0","6,204 14.2","7,819 17.9",143,0.3,1
MARAKWET EAST,Female,"45,188","22,878 50.6","5,569 12.3","6,702 14.8","9,874 21.9",165,0.4,-
MARAKWET WEST,MARAKWET WEST,"126,113","61,427 48.7","23,769 18.8","23,199 18.4","16,672 13.2","1,020",0.8,26
MARAKWET WEST,Male,"63,196","31,115 49.2","12,356 19.6","11,345 18.0","7,843 12.4",523,0.8,14
MARAKWET WEST,Female,"62,912","30,309 48.2","11,413 18.1","11,853 18.8","8,829 14.0",496,0.8,12
NANDI,NANDI,"822,163","390,831 47.5","166,706 20.3","186,639 22.7","70,665 8.6","7,242",0.9,80
NANDI,Male,"408,980","199,523 48.8","85,080 20.8","88,754 21.7","31,654 7.7","3,921",1,48
NANDI,Female,"413,163","191,303 46.3","81,621 19.8","97,879 23.7","39,007 9.4","3,321",0.8,32
CHESUMEI,CHESUMEI,"152,235","69,608 45.7","37,839 24.9","32,606 21.4","10,852 7.1","1,326",0.9,4
CHESUMEI,Male,"75,011","35,299 47.1","18,917 25.2","15,382 20.5","4,706 6.3",704,0.9,3
CHESUMEI,Female,"77,221","34,308 44.4","18,921 24.5","17,223 22.3","6,146 8.0",622,0.8,1
NANDI CENTRAL,NANDI CENTRAL,"136,533","62,865 46.0","31,831 23.3","28,924 21.2","11,858 8.7","1,055",0.8,-
NANDI CENTRAL,Male,"67,514","32,004 47.4","16,014 23.7","13,685 20.3","5,231 7.7",580,0.9,-
NANDI CENTRAL,Female,"69,013","30,860 44.7","15,816 22.9","15,237 22.1","6,625 9.6",475,0.7,-
NANDI EAST,NANDI EAST,"110,834","51,575 46.5","23,672 21.4","25,800 23.3","9,274 8.4",470,0.4,43
NANDI EAST,Male,"55,676","26,083 46.8","12,430 22.3","12,656 22.7","4,215 7.6",269,0.5,23
NANDI EAST,Female,"55,155","25,492 46.2","11,241 20.4","13,143 23.8","5,058 9.2",201,0.4,20
NANDI NORTH,NANDI NORTH,"154,455","75,700 49.0","27,014 17.5","36,134 23.4","13,239 8.6","2,354",1.5,14
NANDI NORTH,Male,"76,585","38,889 50.8","13,689 17.9","16,828 22.0","5,895 7.7","1,275",1.7,9
NANDI NORTH,Female,"77,867","36,809 47.3","13,325 17.1","19,305 24.8","7,344 9.4","1,079",1.4,5
NANDI SOUTH,NANDI SOUTH,"160,898","77,802 48.4","30,499 19.0","36,954 23.0","14,797 9.2",838,0.5,8
NANDI SOUTH,Male,"79,744","39,675 49.8","15,457 19.4","17,488 21.9","6,661 8.4",459,0.6,4
NANDI SOUTH,Female,"81,151","38,127 47.0","15,040 18.5","19,465 24.0","8,136 10.0",379,0.5,4
TINDERET,TINDERET,"107,208","53,281 49.7","15,851 14.8","26,221 24.5","10,645 9.9","1,199",1.1,11
TINDERET,Male,"54,450","27,573 50.6","8,573 15.7","12,715 23.4","4,946 9.1",634,1.2,9
TINDERET,Female,"52,756","25,707 48.7","7,278 13.8","13,506 25.6","5,698 10.8",565,1.1,2
BARINGO,BARINGO,"609,555","253,878 41.6","124,066 20.4","67,739 11.1","157,298 25.8","6,530",1.1,44
BARINGO,Male,"306,702","130,797 42.6","64,231 20.9","32,867 10.7","75,333 24.6","3,456",1.1,18
BARINGO,Female,"302,842","123,075 40.6","59,832 19.8","34,871 11.5","81,964 27.1","3,074",1,26
BARINGO CENTRAL,BARINGO CENTRAL,"89,180","42,317 47.5","29,046 32.6","10,050 11.3","7,236 8.1",530,0.6,1
BARINGO CENTRAL,Male,"44,084","21,287 48.3","14,595 33.1","4,896 11.1","3,044 6.9",262,0.6,-
BARINGO CENTRAL,Female,"45,096","21,030 46.6","14,451 32.0","5,154 11.4","4,192 9.3",268,0.6,1
BARINGO NORTH,BARINGO NORTH,"96,670","47,924 49.6","21,442 22.2","12,943 13.4","13,057 13.5","1,301",1.3,3
BARINGO NORTH,Male,"48,209","24,837 51.5","11,051 22.9","6,148 12.8","5,519 11.4",653,1.4,1
BARINGO NORTH,Female,"48,459","23,087 47.6","10,390 21.4","6,794 14.0","7,538 15.6",648,1.3,2
EAST POKOT,EAST POKOT,"73,135","12,743 17.4","1,763 2.4","1,052 1.4","56,364 77.1","1,208",1.7,5
EAST POKOT,Male,"36,951","6,913 18.7","1,106 3.0",551 1.5,"27,773 75.2",606,1.6,2
EAST POKOT,Female,"36,182","5,829 16.1",657 1.8,501 1.4,"28,590 79.0",602,1.7,3
KOIBATEK,KOIBATEK,"119,478","55,856 46.8","36,782 30.8","18,522 15.5","7,389 6.2",921,0.8,8
KOIBATEK,Male,"59,953","28,370 47.3","18,790 31.3","9,102 15.2","3,183 5.3",505,0.8,3
KOIBATEK,Female,"59,523","27,484 46.2","17,992 30.2","9,420 15.8","4,206 7.1",416,0.7,5
MARIGAT,MARIGAT,"80,968","41,259 51.0","13,931 17.2","11,452 14.1","13,485 16.7",831,1,10
MARIGAT,Male,"40,463","21,466 53.1","7,535 18.6","5,265 13.0","5,738 14.2",453,1.1,6
MARIGAT,Female,"40,502","19,792 48.9","6,394 15.8","6,187 15.3","7,747 19.1",378,0.9,4
MOGOTIO,MOGOTIO,"83,716","41,411 49.5","19,335 23.1","12,127 14.5","9,945 11.9",897,1.1,1
MOGOTIO,Male,"42,194","21,210 50.3","9,986 23.7","6,051 14.3","4,440 10.5",506,1.2,1
MOGOTIO,Female,"41,520","20,199 48.6","9,349 22.5","6,076 14.6","5,505 13.3",391,0.9,-
TIATY EAST,TIATY EAST,"66,408","12,368 18.6","1,767 2.7","1,593 2.4","49,822 75.0",842,1.3,16
TIATY EAST,Male,"34,848","6,714 19.3","1,168 3.4",854 2.5,"25,636 73.6",471,1.4,5
TIATY EAST,Female,"31,560","5,654 17.9",599 1.9,739 2.3,"24,186 76.6",371,1.2,11
LAIKIPIA,LAIKIPIA,"475,756","184,613 38.8","152,372 32.0","59,213 12.4","76,475 16.1","3,045",0.6,38
LAIKIPIA,Male,"236,702","94,751 40.0","78,392 33.1","28,229 11.9","33,580 14.2","1,731",0.7,19
LAIKIPIA,Female,"239,042","89,858 37.6","73,979 30.9","30,981 13.0","42,891 17.9","1,314",0.5,19
LAIKIPIA CENTRAL,LAIKIPIA CENTRAL,"89,229","34,143 38.3","35,196 39.4","13,521 15.2","5,583 6.3",774,0.9,12
LAIKIPIA CENTRAL,Male,"44,606","17,659 39.6","17,815 39.9","6,352 14.2","2,317 5.2",461,1,2
LAIKIPIA CENTRAL,Female,"44,623","16,484 36.9","17,381 39.0","7,169 16.1","3,266 7.3",313,0.7,10
LAIKIPIA EAST,LAIKIPIA EAST,"93,683","33,653 35.9","36,499 39.0","11,280 12.0","11,785 12.6",459,0.5,7
LAIKIPIA EAST,Male,"46,952","16,957 36.1","19,254 41.0","5,378 11.5","5,092 10.8",265,0.6,6
LAIKIPIA EAST,Female,"46,726","16,694 35.7","17,245 36.9","5,899 12.6","6,693 14.3",194,0.4,1
LAIKIPIA NORTH,LAIKIPIA NORTH,"32,310","11,535 35.7","2,970 9.2","1,755 5.4","15,891 49.2",158,0.5,1
LAIKIPIA NORTH,Male,"16,107","6,102 37.9","1,863 11.6",936 5.8,"7,106 44.1",100,0.6,-
LAIKIPIA NORTH,Female,"16,202","5,433 33.5","1,107 6.8",819 5.1,"8,784 54.2",58,0.4,1
LAIKIPIA WEST,LAIKIPIA WEST,"117,836","44,887 38.1","27,911 23.7","12,815 10.9","31,333 26.6",874,0.7,16
LAIKIPIA WEST,Male,"59,138","23,244 39.3","14,852 25.1","6,264 10.6","14,275 24.1",492,0.8,11
LAIKIPIA WEST,Female,"58,695","21,642 36.9","13,059 22.2","6,551 11.2","17,056 29.1",382,0.7,5
NYAHURURU,NYAHURURU,"142,698","60,395 42.3","49,796 34.9","19,842 13.9","11,883 8.3",780,0.5,2
NYAHURURU,Male,"69,899","30,789 44.0","24,608 35.2","9,299 13.3","4,790 6.9",413,0.6,-
NYAHURURU,Female,"72,796","29,605 40.7","25,187 34.6","10,543 14.5","7,092 9.7",367,0.5,2
NAKURU,NAKURU,"1,981,598","843,280 42.6","652,319 32.9","322,032 16.3","147,198 7.4","16,450",0.8,319
NAKURU,Male,"982,910","429,850 43.7","330,145 33.6","150,063 15.3","63,298 6.4","9,390",1,164
NAKURU,Female,"998,603","413,397 41.4","322,148 32.3","171,948 17.2","83,897 8.4","7,058",0.7,155
GILGIL,GILGIL,"169,516","72,508 42.8","57,408 33.9","25,548 15.1","12,929 7.6","1,093",0.6,30
GILGIL,Male,"84,928","37,668 44.4","29,433 34.7","11,850 14.0","5,321 6.3",639,0.8,17
GILGIL,Female,"84,581","34,837 41.2","27,974 33.1","13,695 16.2","7,608 9.0",454,0.5,13
KURESOI NORTH,KURESOI NORTH,"161,409","78,524 48.6","33,145 20.5","32,556 20.2","15,591 9.7","1,574",1,19
KURESOI NORTH,Male,"80,563","40,306 50.0","17,023 21.1","15,313 19.0","7,050 8.8",862,1.1,9
KURESOI NORTH,Female,"80,843","38,216 47.3","16,121 19.9","17,243 21.3","8,541 10.6",712,0.9,10
KURESOI SOUTH,KURESOI SOUTH,"142,631","70,014 49.1","29,713 20.8","27,746 19.5","13,553 9.5","1,603",1.1,2
KURESOI SOUTH,Male,"71,731","36,116 50.3","15,372 21.4","13,129 18.3","6,231 8.7",882,1.2,1
KURESOI SOUTH,Female,"70,897","33,896 47.8","14,341 20.2","14,617 20.6","7,321 10.3",721,1,1
MOLO,MOLO,"144,889","65,127 44.9","40,347 27.8","26,991 18.6","11,108 7.7","1,311",0.9,5
MOLO,Male,"72,141","33,330 46.2","20,721 28.7","12,707 17.6","4,639 6.4",742,1,2
MOLO,Female,"72,743","31,795 43.7","19,625 27.0","14,282 19.6","6,469 8.9",569,0.8,3
NAIVASHA,NAIVASHA,"322,714","122,184 37.9","123,117 38.2","50,229 15.6","24,112 7.5","3,005",0.9,67
NAIVASHA,Male,"161,071","61,761 38.3","63,148 39.2","23,533 14.6","10,813 6.7","1,782",1.1,34
NAIVASHA,Female,"161,617","60,415 37.4","59,961 37.1","26,687 16.5","13,299 8.2","1,222",0.8,33
NAKURU EAST,NAKURU EAST,"176,055","67,868 38.5","78,049 44.3","21,206 12.0","7,575 4.3","1,300",0.7,57
NAKURU EAST,Male,"83,491","33,656 40.3","36,924 44.2","8,997 10.8","3,170 3.8",712,0.9,32
NAKURU EAST,Female,"92,556","34,210 37.0","41,122 44.4","12,206 13.2","4,405 4.8",588,0.6,25
NAKURU NORTH,NAKURU NORTH,"201,190","82,270 40.9","74,572 37.1","30,096 15.0","12,628 6.3","1,563",0.8,61
