,name,capital,code,sub_counties,sub_counties_lower,Place_county_or_subcounty,total_and_gender,number,at_school_or_learning_institution_number_and_percent,after_completion_number_and_percent,before_completion_number_and_percent,never_been_to_school_or_learning_institution_number_and_percent,dont_know_number,dont_know_number_percent,not_stated_number,at_school_or_learning_institution_number,at_school_or_learning_institution_pct,after_completion_number,after_completion_pct,before_completion_number,before_completion_pct,never_been_to_school_or_learning_institution_number,never_been_to_school_or_learning_institution_pct,Unnamed: 0,male_Place_county_or_subcounty,male_total_and_gender,male_number,male_at_school_or_learning_institution_number_and_percent,male_after_completion_number_and_percent,male_before_completion_number_and_percent,male_never_been_to_school_or_learning_institution_number_and_percent,male_dont_know_number,male_dont_know_number_percent,male_not_stated_number,male_at_school_or_learning_institution_number,male_at_school_or_learning_institution_pct,male_after_completion_number,male_after_completion_pct,male_before_completion_number,male_before_completion_pct,male_never_been_to_school_or_learning_institution_number,male_never_been_to_school_or_learning_institution_pct,Unnamed: 19,female_male_Place_county_or_subcounty,female_male_total_and_gender,female_male_number,female_male_at_school_or_learning_institution_number_and_percent,female_male_after_completion_number_and_percent,female_male_before_completion_number_and_percent,female_male_never_been_to_school_or_learning_institution_number_and_percent,female_male_dont_know_number,female_male_dont_know_number_percent,female_male_not_stated_number,female_male_at_school_or_learning_institution_number,female_male_at_school_or_learning_institution_pct,female_male_after_completion_number,female_male_after_completion_pct,female_male_before_completion_number,female_male_before_completion_pct,female_male_never_been_to_school_or_learning_institution_number,female_male_never_been_to_school_or_learning_institution_pct,male_Place_county_or_subcounty_lower
104,Kirinyaga,Kerugoya/Kutus,20,Kirinyaga east,kirinyaga east,KIRINYAGA EAST,KIRINYAGA EAST,"127,964","41,819 32.7","43,513 34.0","33,261 26.0","8,620 6.7",731,0.6,20,"41,819",32.7,"43,513",34,"33,261",26,"8,620",6.7,488,KIRINYAGA EAST,Male,"63,267","21,314 33.7","22,222 35.1","16,536 26.1","2,760 4.4",423,0.7,12,"21,314",33.7,"22,222",35.1,"16,536",26.1,"2,760",4.4,488,KIRINYAGA EAST,Male,"63,267","21,314 33.7","22,222 35.1","16,536 26.1","2,760 4.4",423,0.7,12,"21,314",33.7,"22,222",35.1,"16,536",26.1,"2,760",4.4,kirinyaga east
105,Kirinyaga,Kerugoya/Kutus,20,Kirinyaga west,kirinyaga west,KIRINYAGA WEST,KIRINYAGA WEST,"107,763","37,514 34.8","41,086 38.1","21,824 20.3","6,793 6.3",543,0.5,3,"37,514",34.8,"41,086",38.1,"21,824",20.3,"6,793",6.3,491,KIRINYAGA WEST,Male,"52,630","19,180 36.4","20,574 39.1","10,450 19.9","2,156 4.1",268,0.5,2,"19,180",36.4,"20,574",39.1,"10,450",19.9,"2,156",4.1,491,KIRINYAGA WEST,Male,"52,630","19,180 36.4","20,574 39.1","10,450 19.9","2,156 4.1",268,0.5,2,"19,180",36.4,"20,574",39.1,"10,450",19.9,"2,156",4.1,kirinyaga west
118,Kitui,Kitui,15,Kisasi,kisasi,KISASI,KISASI,"43,226","19,501 45.1","10,676 24.7","7,396 17.1","5,286 12.2",360,0.8,7,"19,501",45.1,"10,676",24.7,"7,396",17.1,"5,286",12.2,314,KISASI,Male,"21,140","10,112 47.8","5,237 24.8","3,653 17.3","1,920 9.1",217,1,1,"10,112",47.8,"5,237",24.8,"3,653",17.3,"1,920",9.1,314,KISASI,Male,"21,140","10,112 47.8","5,237 24.8","3,653 17.3","1,920 9.1",217,1,1,"10,112",47.8,"5,237",24.8,"3,653",17.3,"1,920",9.1,kisasi
188,Mombasa,Mombasa City,1,Kisauni,kisauni,KISAUNI,KISAUNI,"263,742","95,844 36.3","102,940 39.0","37,450 14.2","25,182 9.5","2,257",0.9,69,"95,844",36.3,"102,940",39,"37,450",14.2,"25,182",9.5,14,KISAUNI,Male,"131,351","48,136 36.6","54,063 41.2","18,051 13.7","9,748 7.4","1,315",1,38,"48,136",36.6,"54,063",41.2,"18,051",13.7,"9,748",7.4,14,KISAUNI,Male,"131,351","48,136 36.6","54,063 41.2","18,051 13.7","9,748 7.4","1,315",1,38,"48,136",36.6,"54,063",41.2,"18,051",13.7,"9,748",7.4,kisauni
521,Kisii,Kisii,45,,,KISII,KISII,"1,179,067","557,477 47.3","250,730 21.3","248,244 21.1","116,381 9.9","6,092",0.5,143,"557,477",47.3,"250,730",21.3,"248,244",21.1,"116,381",9.9,1091,KISII,Male,"561,241","282,802 50.4","127,184 22.7","104,190 18.6","43,902 7.8","3,097",0.6,66,"282,802",50.4,"127,184",22.7,"104,190",18.6,"43,902",7.8,1091,KISII,Male,"561,241","282,802 50.4","127,184 22.7","104,190 18.6","43,902 7.8","3,097",0.6,66,"282,802",50.4,"127,184",22.7,"104,190",18.6,"43,902",7.8,kisii
526,Kisii,Kisii,45,Kisii Central,kisii central,KISII CENTRAL,KISII CENTRAL,"153,169","68,085 44.5","44,068 28.8","28,889 18.9","11,388 7.4",729,0.5,10,"68,085",44.5,"44,068",28.8,"28,889",18.9,"11,388",7.4,1106,KISII CENTRAL,Male,"73,940","34,485 46.6","22,437 30.3","12,255 16.6","4,398 5.9",361,0.5,4,"34,485",46.6,"22,437",30.3,"12,255",16.6,"4,398",5.9,1106,KISII CENTRAL,Male,"73,940","34,485 46.6","22,437 30.3","12,255 16.6","4,398 5.9",361,0.5,4,"34,485",46.6,"22,437",30.3,"12,255",16.6,"4,398",5.9,kisii central
527,Kisii,Kisii,45,Kisii South,kisii south,KISII SOUTH,KISII SOUTH,"126,037","59,783 47.4","25,134 19.9","25,518 20.2","15,172 12.0",428,0.3,2,"59,783",47.4,"25,134",19.9,"25,518",20.2,"15,172",12,1109,KISII SOUTH,Male,"59,998","30,077 50.1","12,660 21.1","11,245 18.7","5,786 9.6",228,0.4,2,"30,077",50.1,"12,660",21.1,"11,245",18.7,"5,786",9.6,1109,KISII SOUTH,Male,"59,998","30,077 50.1","12,660 21.1","11,245 18.7","5,786 9.6",228,0.4,2,"30,077",50.1,"12,660",21.1,"11,245",18.7,"5,786",9.6,kisii south
109,Kisumu,Kisumu,42,Kisumu central,kisumu central,KISUMU CENTRAL,KISUMU CENTRAL,"158,191","68,344 43.2","61,681 39.0","21,121 13.4","5,880 3.7","1,105",0.7,60,"68,344",43.2,"61,681",39,"21,121",13.4,"5,880",3.7,1019,KISUMU CENTRAL,Male,"75,722","32,743 43.2","30,767 40.6","8,988 11.9","2,584 3.4",611,0.8,29,"32,743",43.2,"30,767",40.6,"8,988",11.9,"2,584",3.4,1019,KISUMU CENTRAL,Male,"75,722","32,743 43.2","30,767 40.6","8,988 11.9","2,584 3.4",611,0.8,29,"32,743",43.2,"30,767",40.6,"8,988",11.9,"2,584",3.4,kisumu central
511,Kisumu,Kisumu,42,Kisumu east,kisumu east,KISUMU EAST,KISUMU EAST,"202,479","89,998 44.4","64,182 31.7","35,745 17.7","11,405 5.6","1,080",0.5,69,"89,998",44.4,"64,182",31.7,"35,745",17.7,"11,405",5.6,1016,KISUMU EAST,Male,"99,157","44,568 44.9","33,362 33.6","15,767 15.9","4,820 4.9",611,0.6,29,"44,568",44.9,"33,362",33.6,"15,767",15.9,"4,820",4.9,1016,KISUMU EAST,Male,"99,157","44,568 44.9","33,362 33.6","15,767 15.9","4,820 4.9",611,0.6,29,"44,568",44.9,"33,362",33.6,"15,767",15.9,"4,820",4.9,kisumu east
111,Kisumu,Kisumu,42,Kisumu west,kisumu west,KISUMU WEST,KISUMU WEST,"157,473","75,229 47.8","42,160 26.8","28,200 17.9","10,912 6.9",932,0.6,40,"75,229",47.8,"42,160",26.8,"28,200",17.9,"10,912",6.9,1022,KISUMU WEST,Male,"76,922","38,152 49.6","21,797 28.3","12,172 15.8","4,255 5.5",525,0.7,21,"38,152",49.6,"21,797",28.3,"12,172",15.8,"4,255",5.5,1022,KISUMU WEST,Male,"76,922","38,152 49.6","21,797 28.3","12,172 15.8","4,255 5.5",525,0.7,21,"38,152",49.6,"21,797",28.3,"12,172",15.8,"4,255",5.5,kisumu west
398,Kitui,Kitui,15,,,KITUI,KITUI,"1,056,907","490,726 46.4","265,238 25.1","152,030 14.4","136,969 13.0","11,795",1.1,149,"490,726",46.4,"265,238",25.1,"152,030",14.4,"136,969",13,305,KITUI,Male,"508,247","250,178 49.2","127,266 25.0","72,606 14.3","51,705 10.2","6,431",1.3,61,"250,178",49.2,"127,266",25,"72,606",14.3,"51,705",10.2,305,KITUI,Male,"508,247","250,178 49.2","127,266 25.0","72,606 14.3","51,705 10.2","6,431",1.3,61,"250,178",49.2,"127,266",25,"72,606",14.3,"51,705",10.2,kitui
119,Kitui,Kitui,15,Kitui central,kitui central,KITUI CENTRAL,KITUI CENTRAL,"97,406","39,644 40.7","35,837 36.8","13,394 13.8","7,671 7.9",852,0.9,8,"39,644",40.7,"35,837",36.8,"13,394",13.8,"7,671",7.9,317,KITUI CENTRAL,Male,"47,435","20,082 42.3","17,446 36.8","6,621 14.0","2,811 5.9",471,1,4,"20,082",42.3,"17,446",36.8,"6,621",14,"2,811",5.9,317,KITUI CENTRAL,Male,"47,435","20,082 42.3","17,446 36.8","6,621 14.0","2,811 5.9",471,1,4,"20,082",42.3,"17,446",36.8,"6,621",14,"2,811",5.9,kitui central
399,Kitui,Kitui,15,Kitui west,kitui west,KITUI WEST,KITUI WEST,"66,202","29,215 44.1","21,826 33.0","8,742 13.2","5,922 8.9",497,0.8,-,"29,215",44.1,"21,826",33,"8,742",13.2,"5,922",8.9,320,KITUI WEST,Male,"31,558","14,933 47.3","10,062 31.9","4,257 13.5","2,024 6.4",282,0.9,-,"14,933",47.3,"10,062",31.9,"4,257",13.5,"2,024",6.4,320,KITUI WEST,Male,"31,558","14,933 47.3","10,062 31.9","4,257 13.5","2,024 6.4",282,0.9,-,"14,933",47.3,"10,062",31.9,"4,257",13.5,"2,024",6.4,kitui west
528,Kisii,Kisii,45,Kitutu central,kitutu central,KITUTU CENTRAL,KITUTU CENTRAL,"143,117","64,027 44.7","38,458 26.9","28,928 20.2","11,008 7.7",672,0.5,24,"64,027",44.7,"38,458",26.9,"28,928",20.2,"11,008",7.7,1112,KITUTU CENTRAL,Male,"68,958","32,137 46.6","19,362 28.1","12,897 18.7","4,176 6.1",374,0.5,12,"32,137",46.6,"19,362",28.1,"12,897",18.7,"4,176",6.1,1112,KITUTU CENTRAL,Male,"68,958","32,137 46.6","19,362 28.1","12,897 18.7","4,176 6.1",374,0.5,12,"32,137",46.6,"19,362",28.1,"12,897",18.7,"4,176",6.1,kitutu central
461,Baringo,Kabarnet,30,Koibatek,koibatek,KOIBATEK,KOIBATEK,"119,478","55,856 46.8","36,782 30.8","18,522 15.5","7,389 6.2",921,0.8,8,"55,856",46.8,"36,782",30.8,"18,522",15.5,"7,389",6.2,716,KOIBATEK,Male,"59,953","28,370 47.3","18,790 31.3","9,102 15.2","3,183 5.3",505,0.8,3,"28,370",47.3,"18,790",31.3,"9,102",15.2,"3,183",5.3,716,KOIBATEK,Male,"59,953","28,370 47.3","18,790 31.3","9,102 15.2","3,183 5.3",505,0.8,3,"28,370",47.3,"18,790",31.3,"9,102",15.2,"3,183",5.3,koibatek
9,Bomet,Bomet,36,Konoin,konoin,KONOIN,KONOIN,"152,161","71,277 46.8","33,637 22.1","34,293 22.5","11,086 7.3","1,856",1.2,12,"71,277",46.8,"33,637",22.1,"34,293",22.5,"11,086",7.3,857,KONOIN,Male,"77,411","36,629 47.3","18,188 23.5","16,618 21.5","5,006 6.5",962,1.2,8,"36,629",47.3,"18,188",23.5,"16,618",21.5,"5,006",6.5,857,KONOIN,Male,"77,411","36,629 47.3","18,188 23.5","16,618 21.5","5,006 6.5",962,1.2,8,"36,629",47.3,"18,188",23.5,"16,618",21.5,"5,006",6.5,konoin
348,Mandera,Mandera,9,Kotulo,kotulo,KOTULO,KOTULO,"63,722","16,578 26.0","1,667 2.6",562 0.9,"43,739 68.6","1,176",1.8,-,"16,578",26,"1,667",2.6,562,0.9,"43,739",68.6,170,KOTULO,Male,"31,894","8,797 27.6","1,033 3.2",299 0.9,"21,127 66.2",638,2,-,"8,797",27.6,"1,033",3.2,299,0.9,"21,127",66.2,170,KOTULO,Male,"31,894","8,797 27.6","1,033 3.2",299 0.9,"21,127 66.2",638,2,-,"8,797",27.6,"1,033",3.2,299,0.9,"21,127",66.2,kotulo
219,Nakuru,Nakuru,32,Kuresoi north,kuresoi north,KURESOI NORTH,KURESOI NORTH,"161,409","78,524 48.6","33,145 20.5","32,556 20.2","15,591 9.7","1,574",1,19,"78,524",48.6,"33,145",20.5,"32,556",20.2,"15,591",9.7,752,KURESOI NORTH,Male,"80,563","40,306 50.0","17,023 21.1","15,313 19.0","7,050 8.8",862,1.1,9,"40,306",50,"17,023",21.1,"15,313",19,"7,050",8.8,752,KURESOI NORTH,Male,"80,563","40,306 50.0","17,023 21.1","15,313 19.0","7,050 8.8",862,1.1,9,"40,306",50,"17,023",21.1,"15,313",19,"7,050",8.8,kuresoi north
220,Nakuru,Nakuru,32,Kuresoi south,kuresoi south,KURESOI SOUTH,KURESOI SOUTH,"142,631","70,014 49.1","29,713 20.8","27,746 19.5","13,553 9.5","1,603",1.1,2,"70,014",49.1,"29,713",20.8,"27,746",19.5,"13,553",9.5,755,KURESOI SOUTH,Male,"71,731","36,116 50.3","15,372 21.4","13,129 18.3","6,231 8.7",882,1.2,1,"36,116",50.3,"15,372",21.4,"13,129",18.3,"6,231",8.7,755,KURESOI SOUTH,Male,"71,731","36,116 50.3","15,372 21.4","13,129 18.3","6,231 8.7",882,1.2,1,"36,116",50.3,"15,372",21.4,"13,129",18.3,"6,231",8.7,kuresoi south
178,Migori,Migori,44,Kuria east,kuria east,KURIA EAST,KURIA EAST,"88,045","44,090 50.1","10,775 12.2","13,316 15.1","18,969 21.5",866,1,29,"44,090",50.1,"10,775",12.2,"13,316",15.1,"18,969",21.5,1070,KURIA EAST,Male,"42,653","22,712 53.2","5,604 13.1","5,847 13.7","8,045 18.9",434,1,11,"22,712",53.2,"5,604",13.1,"5,847",13.7,"8,045",18.9,1070,KURIA EAST,Male,"42,653","22,712 53.2","5,604 13.1","5,847 13.7","8,045 18.9",434,1,11,"22,712",53.2,"5,604",13.1,"5,847",13.7,"8,045",18.9,kuria east
179,Migori,Migori,44,Kuria west,kuria west,KURIA WEST,KURIA WEST,"189,956","94,801 49.9","27,897 14.7","34,109 18.0","31,689 16.7","1,416",0.7,44,"94,801",49.9,"27,897",14.7,"34,109",18,"31,689",16.7,1073,KURIA WEST,Male,"92,003","47,912 52.1","14,757 16.0","15,094 16.4","13,498 14.7",727,0.8,15,"47,912",52.1,"14,757",16,"15,094",16.4,"13,498",14.7,1073,KURIA WEST,Male,"92,003","47,912 52.1","14,757 16.0","15,094 16.4","13,498 14.7",727,0.8,15,"47,912",52.1,"14,757",16,"15,094",16.4,"13,498",14.7,kuria west
320,Kwale,Kwale,2,,,KWALE,KWALE,"783,189","334,612 42.7","152,178 19.4","98,811 12.6","192,001 24.5","5,418",0.7,169,"334,612",42.7,"152,178",19.4,"98,811",12.6,"192,001",24.5,26,KWALE,Male,"382,538","171,696 44.9","83,012 21.7","49,352 12.9","75,281 19.7","3,108",0.8,89,"171,696",44.9,"83,012",21.7,"49,352",12.9,"75,281",19.7,26,KWALE,Male,"382,538","171,696 44.9","83,012 21.7","49,352 12.9","75,281 19.7","3,108",0.8,89,"171,696",44.9,"83,012",21.7,"49,352",12.9,"75,281",19.7,kwale
284,Trans-Nzoia,Kitale,26,Kwanza,kwanza,KWANZA,KWANZA,"188,466","91,168 48.4","34,511 18.3","38,048 20.2","22,405 11.9","2,326",1.2,8,"91,168",48.4,"34,511",18.3,"38,048",20.2,"22,405",11.9,638,KWANZA,Male,"92,532","46,409 50.2","17,438 18.8","17,330 18.7","10,091 10.9","1,259",1.4,5,"46,409",50.2,"17,438",18.8,"17,330",18.7,"10,091",10.9,638,KWANZA,Male,"92,532","46,409 50.2","17,438 18.8","17,330 18.7","10,091 10.9","1,259",1.4,5,"46,409",50.2,"17,438",18.8,"17,330",18.7,"10,091",10.9,kwanza
400,Kitui,Kitui,15,Kyuso,kyuso,KYUSO,KYUSO,"71,052","34,600 48.7","12,965 18.2","11,286 15.9","11,140 15.7","1,053",1.5,8,"34,600",48.7,"12,965",18.2,"11,286",15.9,"11,140",15.7,323,KYUSO,Male,"33,864","17,508 51.7","6,135 18.1","5,292 15.6","4,367 12.9",560,1.7,2,"17,508",51.7,"6,135",18.1,"5,292",15.6,"4,367",12.9,323,KYUSO,Male,"33,864","17,508 51.7","6,135 18.1","5,292 15.6","4,367 12.9",560,1.7,2,"17,508",51.7,"6,135",18.1,"5,292",15.6,"4,367",12.9,kyuso
159,Mandera,Mandera,9,Lafey,lafey,LAFEY,LAFEY,"74,593","12,181 16.3",928 1.2,395 0.5,"58,134 77.9","2,954",4,1,"12,181",16.3,928,1.2,395,0.5,"58,134",77.9,173,LAFEY,Male,"36,424","6,112 16.8",602 1.7,230 0.6,"28,026 76.9","1,453",4,1,"6,112",16.8,602,1.7,230,0.6,"28,026",76.9,173,LAFEY,Male,"36,424","6,112 16.8",602 1.7,230 0.6,"28,026 76.9","1,453",4,1,"6,112",16.8,602,1.7,230,0.6,"28,026",76.9,lafey
342,Garissa,Garissa,7,Lagdera,lagdera,LAGDERA,LAGDERA,"46,322","4,612 10.0",383 0.8,242 0.5,"40,348 87.1",737,1.6,-,"4,612",10,383,0.8,242,0.5,"40,348",87.1,131,LAGDERA,Male,"23,160","2,414 10.4",248 1.1,143 0.6,"19,986 86.3",369,1.6,-,"2,414",10.4,248,1.1,143,0.6,"19,986",86.3,131,LAGDERA,Male,"23,160","2,414 10.4",248 1.1,143 0.6,"19,986 86.3",369,1.6,-,"2,414",10.4,248,1.1,143,0.6,"19,986",86.3,lagdera
464,Laikipia,Rumuruti,31,,,LAIKIPIA,LAIKIPIA,"475,756","184,613 38.8","152,372 32.0","59,213 12.4","76,475 16.1","3,045",0.6,38,"184,613",38.8,"152,372",32,"59,213",12.4,"76,475",16.1,728,LAIKIPIA,Male,"236,702","94,751 40.0","78,392 33.1","28,229 11.9","33,580 14.2","1,731",0.7,19,"94,751",40,"78,392",33.1,"28,229",11.9,"33,580",14.2,728,LAIKIPIA,Male,"236,702","94,751 40.0","78,392 33.1","28,229 11.9","33,580 14.2","1,731",0.7,19,"94,751",40,"78,392",33.1,"28,229",11.9,"33,580",14.2,laikipia
135,Laikipia,Rumuruti,31,Laikipia central,laikipia central,LAIKIPIA CENTRAL,LAIKIPIA CENTRAL,"89,229","34,143 38.3","35,196 39.4","13,521 15.2","5,583 6.3",774,0.9,12,"34,143",38.3,"35,196",39.4,"13,521",15.2,"5,583",6.3,731,LAIKIPIA CENTRAL,Male,"44,606","17,659 39.6","17,815 39.9","6,352 14.2","2,317 5.2",461,1,2,"17,659",39.6,"17,815",39.9,"6,352",14.2,"2,317",5.2,731,LAIKIPIA CENTRAL,Male,"44,606","17,659 39.6","17,815 39.9","6,352 14.2","2,317 5.2",461,1,2,"17,659",39.6,"17,815",39.9,"6,352",14.2,"2,317",5.2,laikipia central
136,Laikipia,Rumuruti,31,Laikipia east,laikipia east,LAIKIPIA EAST,LAIKIPIA EAST,"93,683","33,653 35.9","36,499 39.0","11,280 12.0","11,785 12.6",459,0.5,7,"33,653",35.9,"36,499",39,"11,280",12,"11,785",12.6,734,LAIKIPIA EAST,Male,"46,952","16,957 36.1","19,254 41.0","5,378 11.5","5,092 10.8",265,0.6,6,"16,957",36.1,"19,254",41,"5,378",11.5,"5,092",10.8,734,LAIKIPIA EAST,Male,"46,952","16,957 36.1","19,254 41.0","5,378 11.5","5,092 10.8",265,0.6,6,"16,957",36.1,"19,254",41,"5,378",11.5,"5,092",10.8,laikipia east
137,Laikipia,Rumuruti,31,Laikipia north,laikipia north,LAIKIPIA NORTH,LAIKIPIA NORTH,"32,310","11,535 35.7","2,970 9.2","1,755 5.4","15,891 49.2",158,0.5,1,"11,535",35.7,"2,970",9.2,"1,755",5.4,"15,891",49.2,737,LAIKIPIA NORTH,Male,"16,107","6,102 37.9","1,863 11.6",936 5.8,"7,106 44.1",100,0.6,-,"6,102",37.9,"1,863",11.6,936,5.8,"7,106",44.1,737,LAIKIPIA NORTH,Male,"16,107","6,102 37.9","1,863 11.6",936 5.8,"7,106 44.1",100,0.6,-,"6,102",37.9,"1,863",11.6,936,5.8,"7,106",44.1,laikipia north
465,Laikipia,Rumuruti,31,Laikipia west,laikipia west,LAIKIPIA WEST,LAIKIPIA WEST,"117,836","44,887 38.1","27,911 23.7","12,815 10.9","31,333 26.6",874,0.7,16,"44,887",38.1,"27,911",23.7,"12,815",10.9,"31,333",26.6,740,LAIKIPIA WEST,Male,"59,138","23,244 39.3","14,852 25.1","6,264 10.6","14,275 24.1",492,0.8,11,"23,244",39.3,"14,852",25.1,"6,264",10.6,"14,275",24.1,740,LAIKIPIA WEST,Male,"59,138","23,244 39.3","14,852 25.1","6,264 10.6","14,275 24.1",492,0.8,11,"23,244",39.3,"14,852",25.1,"6,264",10.6,"14,275",24.1,laikipia west
337,Lamu,Lamu,5,,,LAMU,LAMU,"130,991","50,249 38.4","30,833 23.5","22,762 17.4","26,325 20.1",786,0.6,36,"50,249",38.4,"30,833",23.5,"22,762",17.4,"26,325",20.1,86,LAMU,Male,"69,111","25,969 37.6","18,933 27.4","11,830 17.1","11,888 17.2",472,0.7,19,"25,969",37.6,"18,933",27.4,"11,830",17.1,"11,888",17.2,86,LAMU,Male,"69,111","25,969 37.6","18,933 27.4","11,830 17.1","11,888 17.2",472,0.7,19,"25,969",37.6,"18,933",27.4,"11,830",17.1,"11,888",17.2,lamu
140,Lamu,Lamu,5,Lamu East,lamu east,LAMU EAST,LAMU EAST,"20,637","7,592 36.8","4,029 19.5","4,189 20.3","4,745 23.0",82,0.4,-,"7,592",36.8,"4,029",19.5,"4,189",20.3,"4,745",23,89,LAMU EAST,Male,"10,805","3,866 35.8","2,599 24.1","2,164 20.0","2,112 19.5",64,0.6,-,"3,866",35.8,"2,599",24.1,"2,164",20,"2,112",19.5,89,LAMU EAST,Male,"10,805","3,866 35.8","2,599 24.1","2,164 20.0","2,112 19.5",64,0.6,-,"3,866",35.8,"2,599",24.1,"2,164",20,"2,112",19.5,lamu east
141,Lamu,Lamu,5,Lamu West,lamu west,LAMU WEST,LAMU WEST,"110,354","42,657 38.7","26,804 24.3","18,573 16.8","21,580 19.6",704,0.6,36,"42,657",38.7,"26,804",24.3,"18,573",16.8,"21,580",19.6,92,LAMU WEST,Male,"58,306","22,103 37.9","16,334 28.0","9,666 16.6","9,776 16.8",408,0.7,19,"22,103",37.9,"16,334",28,"9,666",16.6,"9,776",16.8,92,LAMU WEST,Male,"58,306","22,103 37.9","16,334 28.0","9,666 16.6","9,776 16.8",408,0.7,19,"22,103",37.9,"16,334",28,"9,666",16.6,"9,776",16.8,lamu west
540,Nairobi,Nairobi City,47,Lang'ata,lang'ata,LANG'ATA,LANG'ATA,"180,488","63,974 35.4","85,992 47.6","20,561 11.4","8,081 4.5","1,805",1,75,"63,974",35.4,"85,992",47.6,"20,561",11.4,"8,081",4.5,1163,LANG'ATA,Male,"87,399","31,677 36.2","42,299 48.4","9,224 10.6","3,173 3.6",994,1.1,32,"31,677",36.2,"42,299",48.4,"9,224",10.6,"3,173",3.6,1163,LANG'ATA,Male,"87,399","31,677 36.2","42,299 48.4","9,224 10.6","3,173 3.6",994,1.1,32,"31,677",36.2,"42,299",48.4,"9,224",10.6,"3,173",3.6,lang'ata
95,Kiambu,Kiambu,22,lari,lari,LARI,LARI,"125,884","47,619 37.8","45,493 36.1","24,225 19.2","7,784 6.2",755,0.6,8,"47,619",37.8,"45,493",36.1,"24,225",19.2,"7,784",6.2,560,LARI,Male,"62,427","24,207 38.8","23,164 37.1","11,564 18.5","3,053 4.9",436,0.7,3,"24,207",38.8,"23,164",37.1,"11,564",18.5,"3,053",4.9,560,LARI,Male,"62,427","24,207 38.8","23,164 37.1","11,564 18.5","3,053 4.9",436,0.7,3,"24,207",38.8,"23,164",37.1,"11,564",18.5,"3,053",4.9,lari
189,Mombasa,Mombasa City,1,Likoni,likoni,LIKONI,LIKONI,"228,472","79,083 34.6","90,079 39.4","34,337 15.0","23,434 10.3","1,516",0.7,23,"79,083",34.6,"90,079",39.4,"34,337",15,"23,434",10.3,17,LIKONI,Male,"115,784","39,336 34.0","49,230 42.5","16,522 14.3","9,784 8.5",897,0.8,15,"39,336",34,"49,230",42.5,"16,522",14.3,"9,784",8.5,17,LIKONI,Male,"115,784","39,336 34.0","49,230 42.5","16,522 14.3","9,784 8.5",897,0.8,15,"39,336",34,"49,230",42.5,"16,522",14.3,"9,784",8.5,likoni
487,Kakamega,Kakamega,37,Likuyani,likuyani,LIKUYANI,LIKUYANI,"141,338","68,899 48.7","29,353 20.8","27,918 19.8","13,156 9.3","1,998",1.4,14,"68,899",48.7,"29,353",20.8,"27,918",19.8,"13,156",9.3,887,LIKUYANI,Male,"68,337","34,856 51.0","14,191 20.8","12,400 18.1","5,802 8.5","1,078",1.6,10,"34,856",51,"14,191",20.8,"12,400",18.1,"5,802",8.5,887,LIKUYANI,Male,"68,337","34,856 51.0","14,191 20.8","12,400 18.1","5,802 8.5","1,078",1.6,10,"34,856",51,"14,191",20.8,"12,400",18.1,"5,802",8.5,likuyani
92,Kiambu,Kiambu,22,Limuru,limuru,LIMURU,LIMURU,"147,004","53,174 36.2","62,532 42.5","23,212 15.8","7,384 5.0",680,0.5,22,"53,174",36.2,"62,532",42.5,"23,212",15.8,"7,384",5,563,LIMURU,Male,"73,445","26,851 36.6","32,177 43.8","11,227 15.3","2,777 3.8",400,0.5,13,"26,851",36.6,"32,177",43.8,"11,227",15.3,"2,777",3.8,563,LIMURU,Male,"73,445","26,851 36.6","32,177 43.8","11,227 15.3","2,777 3.8",400,0.5,13,"26,851",36.6,"32,177",43.8,"11,227",15.3,"2,777",3.8,limuru
286,Turkana,Lodwar,23,Loima,loima,LOIMA,LOIMA,"98,183","14,212 14.5","1,109 1.1","2,003 2.0","78,451 79.9","2,298",2.3,110,"14,212",14.5,"1,109",1.1,"2,003",2,"78,451",79.9,581,LOIMA,Male,"49,440","7,292 14.7",762 1.5,997 2.0,"39,101 79.1","1,231",2.5,57,"7,292",14.7,762,1.5,997,2,"39,101",79.1,581,LOIMA,Male,"49,440","7,292 14.7",762 1.5,997 2.0,"39,101 79.1","1,231",2.5,57,"7,292",14.7,762,1.5,997,2,"39,101",79.1,loima
479,Kajiado,Kajiado,34,Loitoktok,loitoktok,LOITOKITOK,LOITOKITOK,"173,159","70,006 40.4","28,958 16.7","18,750 10.8","53,977 31.2","1,445",0.8,23,"70,006",40.4,"28,958",16.7,"18,750",10.8,"53,977",31.2,821,LOITOKITOK,Male,"85,227","35,391 41.5","15,485 18.2","9,387 11.0","24,074 28.2",876,1,14,"35,391",41.5,"15,485",18.2,"9,387",11,"24,074",28.2,821,LOITOKITOK,Male,"85,227","35,391 41.5","15,485 18.2","9,387 11.0","24,074 28.2",876,1,14,"35,391",41.5,"15,485",18.2,"9,387",11,"24,074",28.2,loitokitok
351,Marsabit,Marsabit,10,Loiyangalani,loiyangalani,LOIYANGALANI,LOIYANGALANI,"31,574","6,673 21.1",964 3.1,634 2.0,"23,141 73.3",162,0.5,-,"6,673",21.1,964,3.1,634,2,"23,141",73.3,188,LOIYANGALANI,Male,"15,401","3,177 20.6",665 4.3,313 2.0,"11,165 72.5",81,0.5,-,"3,177",20.6,665,4.3,313,2,"11,165",72.5,188,LOIYANGALANI,Male,"15,401","3,177 20.6",665 4.3,313 2.0,"11,165 72.5",81,0.5,-,"3,177",20.6,665,4.3,313,2,"11,165",72.5,loiyangalani
