County_slash_Sub_County,internet_population_above3_Total_Male_Female,internet_population_above3_Total,internet_population_above3_Male,internet_population_above3_Female,Use_of_Internet_Total,Use_of_Internet_pct,Use_of_Internet_Male_pct,Use_of_Internet_Male,Use_of_Internet_pct,Use_of_Internet_Female,Use_of_Internet_pct,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Total,pct_male_pct_female_pct,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Total_pct,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Male,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Male_pct,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Female,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Female_pct
KILUNGU,"57,412 27,241 30,170",,,,"8,301",14.5,"4,589 16.8",,,"3,712",12.3,"2,931","5.1 1,701 6.2 1,230",,,,,4.1
MAKINDU,"78,427 38,462 39,965",,,,"12,925",16.5,"6,926 18.0",,,"5,999",15,"5,199","6.6 2,859 7.4 2,340",,,,,5.9
MAKUENI SUBCOUNTY,"121,484 60,589 60,893",,,,"27,646",22.8,"14,765 24.4",,,"12,881",21.2,"11,563","9.5 6,330 10.4 5,233",,,,,8.6
MBOONI EAST,"92,210 45,311 46,896",,,,"13,449",14.6,"7,367 16.3",,,"6,082",13,"4,609","5.0 2,624 5.8 1,985",,,,,4.2
MBOONI WEST,"96,464 46,405 50,058",,,,"12,795",13.3,"7,152 15.4",,,"5,642",11.3,"4,835","5.0 2,774 6.0 2,061",,,,,4.1
MUKAA,"100,143 50,574 49,569",,,,"17,156",17.1,"9,624 19.0",,,"7,532",15.2,"6,558","6.5 3,778 7.5 2,780",,,,,5.6
NZAUI,"117,447 58,168 59,275",,,,"19,401",16.5,"10,742 18.5",,,"8,659",14.6,"6,954","5.9 4,046 7.0 2,908",,,,,4.9
NYANDARUA,"594,649 292,917 301,715",,,,"122,388",20.6,"69,255 23.6",,,"53,132",17.6,"45,701","7.7 25,730 8.8 19,970",,,,,6.6
KINANGOP,"103,793 50,836 52,953",,,,"21,049",20.3,"11,840 23.3",,,"9,209",17.4,"6,258","6.0 3,553 7.0 2,705",,,,,5.1
NYANDARUA SOUTH,"87,189 42,802 44,384",,,,"18,840",21.6,"10,564 24.7",,,"8,275",18.6,"6,918","7.9 3,871 9.0 3,047",,,,,6.9
MIRANGINE,"62,731 31,220 31,510",,,,"10,329",16.5,"6,070 19.4",,,"4,259",13.5,"3,533","5.6 1,995 6.4 1,538",,,,,4.9
KIPIPIRI,"87,881 43,161 44,718",,,,"13,873",15.8,"8,260 19.1",,,"5,613",12.6,"4,958","5.6 2,829 6.6 2,129",,,,,4.8
NYANDARUA CENTRAL,"69,596 34,508 35,087",,,,"16,715",24,"9,345 27.1",,,"7,370",21,"6,955","10.0 3,838 11.1 3,117",,,,,8.9
NYANDARUA WEST,"91,217 45,240 45,973",,,,"22,172",24.3,"12,419 27.5",,,"9,753",21.2,"9,015","9.9 5,201 11.5 3,814",,,,,8.3
NYANDARUA NORTH,"92,228 45,140 47,086",,,,"19,397",21,"10,748 23.8",,,"8,649",18.4,"8,058","8.7 4,438 9.8 3,619",,,,,7.7
ABERDARE NATIONAL PARK,14 10 4,,,,13,92.9,9 90.0,,,4,100,6,42.9 5 50.0 1,,,,,25
NYERI,"709,353 348,266 361,061",,,,"211,807",29.9,"112,479 32.3",,,"99,319",27.5,"97,427","13.7 52,982 15.2 44,443",,,,,12.3
TETU,"75,931 37,083 38,846",,,,"19,846",26.1,"10,663 28.8",,,"9,182",23.6,"8,515","11.2 4,649 12.5 3,866",,,,,10
KIENI EAST,"102,812 51,442 51,366",,,,"30,633",29.8,"16,703 32.5",,,"13,928",27.1,"12,721","12.4 6,967 13.5 5,754",,,,,11.2
KIENI WEST,"82,829 41,026 41,798",,,,"18,395",22.2,"10,330 25.2",,,"8,062",19.3,"6,655","8.0 3,735 9.1 2,920",,,,,7
